All Players 2024  Season MLB Import_pitchers Categories
Avail,Player,APP,INN,GS,K,BAA,H,HR,QS,W-L,HD,S,BS,RW,ERA,WHIP,Rank,
Centreville Blue Sox,Tarik Skubal SP | DET,31,192.0,31,228,.201,142,15,22,14,0,0,0,0,2.39,0.92,9
Wrigleyville Fielders,Chris Sale SP | ATL,29,177.7,29,225,.216,141,9,18,15,0,0,0,0,2.38,1.01,15
Wrigleyville Fielders,Zack Wheeler SP | PHI,32,200.0,32,224,.192,139,20,26,9,0,0,0,0,2.56,0.95,16
Richmond Hippies,Emmanuel Clase RP | CLE,74,74.3,0,66,.154,39,2,0,2,0,47,3,4,0.60,0.66,30
Centreville Blue Sox,Logan Gilbert SP | SEA ,33,208.7,33,220,.196,148,26,22,-3,0,0,0,0,3.23,0.89,35
Iowa Cubs,Seth Lugo SP | KC ,33,206.7,33,181,.229,177,16,22,7,0,0,0,0,3.00,1.09,40
Centreville Blue Sox,Shota Imanaga SP | CHC,29,173.3,29,174,.225,149,27,19,12,0,0,0,0,2.91,1.02,42
East Carolina Bucs,Dylan Cease SP | SD ,33,189.3,33,224,.200,137,18,16,3,0,0,0,0,3.47,1.07,43
Wrigleyville Fielders,Ryan Helsley RP | STL,65,66.3,0,79,.210,50,3,0,3,0,49,4,7,2.04,1.10,47
Wrigleyville Fielders,Corbin Burnes SP | ARI ,32,194.3,32,181,.226,165,22,22,6,0,0,0,0,2.92,1.10,51
Fairfax Flying Squirrels,Paul Skenes SP | PIT ,23,133.0,23,170,.198,94,10,15,8,0,0,0,0,1.96,0.95,54
Richmond Hippies,Bryce Miller SP | SEA,31,180.3,31,171,.200,131,21,18,4,0,0,0,0,2.94,0.98,57
Wrigleyville Fielders,Kirby Yates RP | LAD,61,61.7,0,85,.113,23,3,0,5,2,33,1,7,1.17,0.83,59
Fairfax Flying Squirrels,Framber Valdez SP | HOU ,28,176.3,28,169,.221,140,13,17,8,0,0,0,0,2.91,1.11,62
East Carolina Bucs,Jack Flaherty SP | DET ,28,162.0,28,194,.223,135,24,15,6,0,0,0,0,3.17,1.07,63
Iowa Cubs,Cole Ragans SP | KC ,32,186.3,32,223,.213,146,15,21,2,0,0,0,0,3.14,1.14,68
Lewisberg All Blacks,Raisel Iglesias RP | ATL ,66,69.3,0,68,.160,38,4,0,4,0,34,4,6,1.95,0.74,70
Fairfax Flying Squirrels,Ronel Blanco SP | HOU ,30,167.3,29,166,.190,114,22,14,7,0,0,0,0,2.80,1.09,71
Southern Playaz,Michael King SP | SD,31,173.7,30,201,.221,144,17,14,4,0,0,0,1,2.95,1.19,75
Wrigleyville Fielders,George Kirby SP | SEA ,33,191.0,33,179,.245,181,22,20,3,0,0,0,0,3.53,1.07,76
East Carolina Bucs,Josh Hader RP | HOU,71,71.0,0,105,.171,43,12,0,0,0,34,4,8,3.80,0.96,84
Lewisberg All Blacks,Sonny Gray SP | STL,28,166.3,28,203,.228,142,21,13,4,0,0,0,0,3.84,1.09,87
Centreville Blue Sox,Bailey Ober SP | MIN,31,178.7,31,191,.208,136,27,18,3,0,0,0,0,3.98,1.00,91
Southern Playaz,Sean Manaea SP | NYM ,32,181.7,32,184,.202,134,21,15,6,0,0,0,0,3.47,1.08,95
Levittown Panthers,Robert Suarez RP | SD ,65,65.0,0,59,.217,52,7,0,6,1,36,6,9,2.77,1.05,96
Midlothian DeadHeads,Aaron Nola SP | PHI,33,199.3,33,197,.247,189,30,20,6,0,0,0,0,3.57,1.20,98
Lewisberg All Blacks,Hunter Greene SP | CIN ,26,150.3,26,169,.182,96,12,13,4,0,0,0,0,2.75,1.02,100
Wrigleyville Fielders,Tanner Bibee SP | CLE ,31,173.7,31,187,.230,150,22,12,4,0,0,0,0,3.47,1.12,104
