First Name,Last Name,Pos,Rank
Roki,Sasaki,RHP,1
Roman,Anthony,OF,2
Walker,Jenkins,OF,3
Dylan,Crews,OF,4
Jackson,Jobe,RHP,5
Max,Clark,OF,6
Kristian,Campbell,2B/SS/OF,7
Andrew,Painter,RHP,8
Carson,Williams,SS,9
Travis,Bazzana,2B,10
Jordan,Lawlar,SS,11
Marcelo,Mayer,SS,12
Samuel,Basallo,C/1B,13
Coby,Mayo,3B/1B,14
Bubba,Chandler,RHP,15
Noah,Schultz,LHP,16
Sebastian,Walcott,SS/3B,17
Matt,Shaw,INF,19
Colt,Emerson,SS/3B,20
Jac,Caglianone,1B,22
JJ,Wetherholt,SS,23
Bryce,Eldridge,1B,24
Chase,Dollander,RHP,25
Chase,Burns,RHP,26
Aidan,Miller,SS,27
Dalton,Rushing,C/OF,30
Jacob,Wilson,SS,31
Kyle,Teel,C,32
Ethan,Salas,C,33
Hagen,Smith,LHP,34
Rhett,Lowder,RHP,35
Chase,DeLauter,OF,36
Emmanuel,Rodriguez,OF,37
Nick,Kurtz,1B,38
Colson,Montgomery,SS,39
Thomas,White,LHP,41
Lazaro,Montes,OF,42
Kumar,Rocker,RHP,44
Quinn,Mathews,LHP,45
Brandon,Sproat,RHP,46
Jeferson,Quero,C,47
Blake,Mitchell,C,48
Xavier,Isaac,1B,50
Cade,Horton,RHP,51
Bryce,Rainer,SS,52
Owen,Caissie,OF,53
Braden,Montgomery,OF,54
Cooper,Pratt,SS,56
Jett,Williams,SS/OF,57
Cam,Smith,3B,58
Jaison,Chourio,OF,59
Luke,Keaschall,2B/OF/1B,60
Angel,Genao,INF,61
Drake,Baldwin,C,62
Justin,Crawford,OF,63
Harry,Ford,C,64
Edgar,Quero,C,65
Brayden,Taylor,INF,66
Christian,Moore,2B,67
Moises,Ballesteros,C/1B,68
Travis,Sykora,RHP,69
Jackson,Ferris,LHP,70
Alex,Freeland,SS,71
Felnin,Celesten,SS,73
Zyhir,Hope,OF,74
Tink,Hence,RHP,76
Caden,Dana,RHP,77
Jarlin,Susana,RHP,78
Thomas,Harrington,RHP,79
Starlyn,Caba,SS,80
Thayron,Liranzo,C/1B,81
Noble,Meyer,RHP,84
Carter,Jensen,C,85
Arjun,Nimmala,SS,86
Trey,Yesavage,RHP,87
Cam,Caminiti,LHP,88
Cam,Collier,3B,90
Edwin,Arroyo,SS,91
Eduardo,Tait,C,92
Jonny,Farmelo,OF,95
Theo,Gillen,OF,98
Jacob,Misiorowski,RHP,99
Carson,Benge,OF,100
