Avail,Player,MLB,Eligible,Rank
Lewisberg All Blacks,Hunter Greene SP | CIN ,A,SP,1
East Carolina Bucs,Garrett Crochet SP | BOS ,A,SP,4
Wrigleyville Fielders,Yoshinobu Yamamoto SP | LAD ,A,SP,5
Centreville Blue Sox,Logan Gilbert SP | SEA ,A,SP,8
Lewisberg All Blacks,Spencer Schwellenbach SP | ATL ,A,SP,9
Southern Playaz,Michael King SP | SD ,A,SP,10
Northern Virginia River Rats,"Kris Bubic RP,SP | KC ",A,"RP,SP",14
Iowa Cubs,Cole Ragans SP | KC ,A,SP,15
Fairfax Flying Squirrels,Jeff Hoffman RP | TOR ,A,RP,16
East Carolina Bucs,Jesus Luzardo SP | PHI ,A,SP,17
Richmond Hippies,Nathan Eovaldi SP | TEX ,A,SP,19
East Carolina Bucs,Nick Lodolo SP | CIN ,A,SP,20
Lewisberg All Blacks,Nick Pivetta SP | SD ,A,SP,21
Iowa Cubs,Freddy Peralta SP | MIL ,A,SP,24
Wrigleyville Fielders,Kodai Senga SP | NYM ,A,SP,27
East Carolina Bucs,Logan Webb SP | SF ,A,SP,28
Levittown Panthers,Brady Singer SP | CIN ,A,SP,33
Levittown Panthers,Robert Suarez RP | SD ,A,RP,35
Midlothian DeadHeads,"Shohei Ohtani DH,SP,U | LAD",A,"DH,SP,U",36
Centreville Blue Sox,Shota Imanaga SP | CHC ,A,SP,39
Iowa Cubs,Easton Lucas RP | TOR,A,RP,40
Centreville Blue Sox,Jose Alvarado RP | PHI ,A,RP,41
Iowa Cubs,Max Fried SP | NYY ,A,SP,42
Iowa Cubs,"Drew Rasmussen RP,SP | TB ",A,"RP,SP",43
Richmond Hippies,Kevin Gausman SP | TOR ,A,SP,45
Lewisberg All Blacks,Bryan Woo SP | SEA ,A,SP,47
East Carolina Bucs,Jose Soriano SP | LAA ,A,SP,48
Iowa Cubs,Tyler Mahle SP | TEX ,A,SP,50
Lewisberg All Blacks,Hunter Brown SP | HOU ,A,SP,51
Iowa Cubs,Tylor Megill SP | NYM ,A,SP,53
Southern Playaz,Chris Bassitt SP | TOR ,A,SP,54
Iowa Cubs,Jason Adam RP | SD ,A,RP,55
Southern Playaz,Aroldis Chapman RP | BOS ,A,RP,56
East Carolina Bucs,Jack Leiter SP | TEX ,IL,SP,57
East Carolina Bucs,Jack Flaherty SP | DET ,A,SP,58
Midlothian DeadHeads,Andres Munoz RP | SEA ,A,RP,60
East Carolina Bucs,Josh Hader RP | HOU ,A,RP,61
Iowa Cubs,Robbie Ray SP | SF ,A,SP,62
