Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
1,1,"Gunnar Henderson","BAL","SS","MLB",2023,"65","Med",,"22.2555555","6' 2""","210","L","R",2019,"Draft","BAL",2300000,"Morgan Academy HS (AL)","Henderson, still just the age of a college draft prospect, had one of the best offensive performances in minor league baseball in 2022 and made his big league debut late in the season. After strikeouts were an issue for him in 2021, he narrowed his approach (which is now surgically precise) and began to attack pitches he could damage, avoiding ones on the outer edge of the zone until he has no choice but to put them in play. The change made Henderson a dominant offensive force even though he continued to swing and miss at a worse-than-average rate, and he slashed .297/.416/.531 combined at Double-A Bowie and Triple-A Norfolk before being called up to Baltimore for the last month of the season. 
The offensive package, even with a bat-to-ball blemish (for now), is still befitting of a star-level talent at shortstop or third base, wherever Henderson ends up playing. He is short to the baseball and still generates huge, all-fields power, swinging with so much effort and might that sometimes his head rattles around and his helmet flies off as he's making contact. While this might contribute to some of his in-zone and overall swing-and-miss rates (he posted a 77% Z-contact% and 72% overall contact% in 2022, both comfortably below the big league average), Henderson shows plenty of hitterish traits that instill confidence in his 2022 output. He has terrific breaking ball recognition, uses his whole body to maneuver the barrel around the zone, and can let pitches travel deep before driving them the other way, and Henderson is strong enough to do damage to left field even when he's late or mis-hits a pitch. He can be beaten with high velocity more regularly than anything else, but if pitchers miss and catch too much of the meat of the zone, that mistake is going to get hit hard somewhere. Henderson's hard-hit rate (52%), average exit velocity (92 mph), max exit velo for his age (116 mph), barrel rate in the minors, and anything else that measures power and contact quality are all a 60 or 70 on the scouting scale, and so is his plate discipline. Even with a 40 or 45-grade hit tool, which feels like a low-end outcome, that's a star player at shortstop and an above-average regular at third base. 
He's a little more tightly wound than is typical for a big league shortstop, but Henderson's straight-line speed is plus and so is his defensive range, and his arm strength enables him to make some plays that many other infielders can't. His feeds around the bag sometimes lack touch and accuracy, but he's otherwise a capable shortstop defender and would easily be plus at third base. On a universal prospect continuum, Henderson grades out a shade below some of the 70 FV or better prospects from recent years like Shohei Ohtani, Wander Franco, Vladimir Guerrero Jr., and (gulp) Gavin Lux (who is now tracking like a 60, thank goodness) because we're talking about a corner bat with what might be a 45-grade hit tool. Still, he's poised to be a franchise cornerstone for the Orioles' looming renaissance.","NyW9Bnc86CI","26289"
2,1,"Corbin Carroll","ARI","LF","MLB",2023,"65","Med",,"23.1111111","5' 10""","165","L","L",2019,"Draft","ARI",3745500,"Lakeside HS (WA)","For players written up as Imminent Big Leaguers, the late-cycle list blurbs have taken on more of a reflective tone, a chance to check in on how things are going compared to the earlier report. They're almost easier to execute for players who <em>aren't</em> performing as expected, and Carroll, who signed an eight-year, $111 million extension this offseason, has been one of the best players in the majors so far this season. If anything, the fact that he was ranked as the second-best prospect in baseball behind Gunnar Henderson has been incorrect to this point. If there's one thing about Carroll that I was consistently wrong about as he traversed the minors, it was that he'd become a better center field defender than Alek Thomas. He hasn't, but it hasn't mattered. This dude is getting MVP chants at Chase Field. 
His offseason report, which follows, has been on target thus far: Just seven games into his 2021 minor league season, Carroll sustained a posterior capsular avulsion fracture and a labrum tear during a swing on which he homered. The rip was more explosive than his shoulder could handle, and part of it tore away from the bone. He spent most of the rest of the year rehabbing in Arizona, often attending Diamondbacks games in his sling. This isn't a common injury and the industry wasn't quite sure what to make of its impact on his trajectory. There was some worry that Carroll wouldn't be quite the same player when he returned, but he quickly allayed those concerns by dominating the upper minors as soon as the 2022 starter pistol fired, notching an amazing 53 extra-base hits in just 91 Double- and Triple-A games before he slashed .260/.330/.500 during a September big league call-up. 
Carroll has evolved in some surprising ways as a hitter. His amateur look was that of a slash-and-dash leadoff man with doubles power and a great idea of the strike zone. While some of those skills are still bricks in Carroll's baseball-playing foundation, he has developed much more power than even the most optimistic amateur projections. His forearms have grown like the Grinch's heart, and Carroll can now bang wall-threatening contact to all fields with the flick of his wrists. The compact nature of Carroll's body and swing gives him a little extra time and distance to diagnose pitches, and his strength makes him a threat to do damage on the ones that he lets travel deep into the hitting zone. He rarely chases and spoils lots of well-executed pitches, grinding away at opposing pitchers. Because Carroll runs such deep counts, his strikeout rates have been higher than one might expect given his reputation as a plus contact hitter. He did show some swing-and-miss vulnerability at the top of the strike zone throughout 2022, but seemed to be remedying that toward the end of the season. 
He's a complete hitter who will likely produce some 25-30 home run seasons by virtue of his contact quality and frequency, as well as some .400-plus OBP seasons because of his plate discipline and speed. And Carroll can really motor: he's a no-doubt 80 runner and routinely posts sub-4.00 second times to first base. His speed makes him a defensive fit in center field but a lack of arm strength and the presence of young Alek Thomas in Arizona will likely push Carroll to left (he's played a mix of left, center, and right in 2023), where he might be the game's rangiest defender at that position. Poised to make an immediate impact as Arizona's leadoff hitter, Carroll is the tip of the spear the Diamondbacks are pointing at the Dodgers and Padres.","sUghxoNDJ4g","25878"
1,1,"Elly De La Cruz","CIN","SS","MLB",2024,"60","High",,"21.7222222","6' 5""","200","S","R",2018,"J2","CIN",65000,"Dominican Republic","De La Cruz has the most exciting combination of tools and defensive fit in the minors, a switch-hitter with plus-plus power, speed, arm strength, and all-around athleticism, as well as a somewhat more consistent look at shortstop than he had a year ago, even at 6-foot-5. He followed up his splashy 2021 with a 2022 tidal wave, reaching Double-A Chattanooga as a 20-year-old while tabulating over 70 extra-base hits and about 40 stolen bases. He sports ridiculous all-fields power from the left side of the plate, floats from base to base with huge, graceful strides, can clock home-to-first times close to 4.00 seconds, and still has room for much, much more mass on his frame before it detracts from his mobility enough to push him off shortstop. While he could stand to be a little more consistent on defense (many balls got through him early this past winter with Licey), the range, bend, hands, and arm strength to play short are all comfortably here. 
If he does that while getting to most of his power, he'll be one of the better players in baseball... it's just that De La Cruz has struck out a concerning 30% of the time. Even at shortstop, there isn't a full-time player in the big leagues who punches out quite that often. The closest contemporary statistical predecessors and tool-based comps to make for De La Cruz are Willy Adames (a 29% K% hitter who has performed like a 60 because he gets to his power and plays great defense) and Fernando Tatis Jr. (27.6% K%). Elly's tools are big enough to stand with those guys, but if he's striking out at a 30% clip at Double-A, it's likely he'll do so more often against big league pitching, which puts him in a dangerous area. His strikeout problems stem from poor breaking ball and offspeed recognition, as he chases those pitches a fair bit (about a 40% rate against sliders and curveballs at Double-A per Synergy) while also swinging through lots of them in the zone (75% Z-Contact% versus non-fastballs). His overall chase rates remain a little worse than average but they're not terrifying. There are plenty of good players on the big league O-Swing% leaderboard, including many young stars, but these issues together create hit tool-related bust risk for Elly. Obviously he's ranked here as if he's set to become a star player anyway. Added to the 40-man roster in November, De La Cruz is on pace for regular big league playing time in 2024.","S9LlAJHlow","26668"
3,1,"Eury Pérez","MIA","SP","MLB",2023,"60","High",,"20.4611111","6' 9""","220","R","R",2019,"J2","MIA",200000,"Dominican Republic","Pérez is one of the freakier players, let alone prospects, in the game. The Andean condor of pitching prospects, he has incredible body control and strike-throwing ability for a pitcher this young, who is this size, who throws this hard, and who has made repertoire adjustments on the fly throughout the last year and a half. Across 2021 and 2022, Pérez added about 30 pounds, experienced a two-tick fastball velocity bump, and incorporated a second, harder breaking ball that has become his primary non-fastball weapon. After sitting ""only"" 94-95 mph in 2021, he’s now parked in the 96-98 mph range for entire starts, and his hardest sliders (in the 85-87 mph range) are nearly 10 mph harder than his average curveball was in 2021 (77 mph). At one point he rose to being our no. 2 overall prospect, then was shut down for a little over a month with what Miami described as ""arm fatigue"" late in 2022. He's looked totally fine since returning, including early in 2023 when he made six dominant starts at Double-A Pensacola and was promoted to Miami. 
Pérez shows bend and balance in his lower half as he propels himself way down the mound and releases on the doorstep of the batter’s box, making hitters extremely uncomfortable. Though he doesn't throw the pitch a ton, his changeup feel is also precocious and currently more consistent than his feel for his newer slider, which tends to finish in the zone too often. The ceiling on his changeup and command are both huge. Tall, long-levered pitchers tend to sharpen their command into their 20s as they refine their control of their bodies, and Pérez already has average command at age 20. Consider that C.C. Sabathia walked a batter every other inning during his age-20 rookie season and, over time, became one of the more efficient strike-throwers in baseball with one of the game's best changeups. Pérez has similar ingredients at the same age. The sky's the limit here. It will be interesting to see how the Marlins manicure his workload in 2023 since he's only thrown 77 innings each of the last two seasons and is easily on pace to blow through that mark this year. As of the early part of 2023, Miami is scrapping around .500 and their rotation, especially with a fully-operational Eury, would make them pretty dangerous in a postseason setting if they can sneak in.","3DQ2xBgH2H8","27768"
9,1,"Anthony Volpe","NYY","2B","MLB",2023,"60","Med",,"22.425","5' 11""","180","R","R",2019,"Draft","NYY",2740300,"Delbarton HS (NJ)","Drafted as a glove-first shortstop prospect, Volpe had a uninspiring professional debut, but he totally transformed himself during the lost pandemic season and returned in 2021 with one of the best campaigns in all of the minor leagues, slugging .604 across two levels. After a slow start to 2022, Volpe hit .273/.355/.502 with Double-A Somerset from May through August and earned a late-season call up to Scranton. He's poised to start his age-22 season at Triple-A and likely make his big league debut at some point in 2023, perhaps usurping Gleyber Torres as the everyday second baseman if it becomes clear that Volpe is a superior offensive option. 
Working with a private instructor on a daily basis during the pandemic, Volpe completely re-engineered his swing, which now produces impact power, especially for a middle infielder. You've probably seen big league hitters use a ""toe tap,"" or heard broadcasters use that phrase. Well, Volpe's swing starts with what is best described as a ""heel tap"" of his rear leg, as he loads all his weight onto his back side before he strides forward and swings with verve and ferocity. The swing changes that helped enable his breakout created a bat path built to lift the ball to the extreme, and Volpe's average launch angle was a whopping 24 degrees last year. His swing is like a right-handed version of Juan Soto's, capable of getting underneath the baseball in basically every part of the zone, in part because of the flexibility and athleticism in his lower half. 
Even though he's been on a throwing program to strengthen his arm, Volpe still doesn't have the hose typical of a big league shortstop. If he had somehow improved his throwing (which isn't terrible — he could play short in an emergency), he'd still be behind Oswald Peraza and Isiah Kiner-Falefa in this regard and would end up at second base anyway. As Volpe has added strength and mass, the trunk of his body has thickened substantially and impacted his defensive mobility a bit. His second base defense could trend down as he gets deeper into his 20s, but he should be fine there for a while. Volpe's game power should routinely put him in the mix for All-Star teams for as long as he stays on the middle infield, and he'll still be a productive everyday player if he moves later in his career.","EpQrKumdH-A","27647"
10,1,"Francisco Alvarez","NYM","C","A",2023,"60","High",,"21.8666666","5' 10""","233","R","R",2018,"J2","NYM",2700000,"Venezuela","Álvarez has comfortably lived up to the hype since signing out of Venezuela in 2018 for nearly $3 million. Considered too advanced for the team’s Dominican complex, he made his stateside pro debut in 2019 and followed that up by posting a .941 OPS across two A-ball levels in 2021 while he was still a teenager. In 2022, he dominated the upper levels (.260/.374/.511) and made his big league debut at age 20 with a five-game cup of coffee. Veteran stalwarts Omar Narváez and Tomás Nido began the 2023 season ahead of him on the big league depth chart, but both catchers experienced bumps and bruises early on, which resulted in the college-aged Álvarez being recalled to the majors in early April. He was foisted into the primary catching role not long before the Mets list was published. 
If you have the opportunity to head to the ballpark early and watch Álvarez take batting practice, you should. He has had the most impressive BP session at each of the last two Futures Games, launching satellite-threatening baseballs to the very outer reaches of big league stadiums. And Álvarez wants to show you his power. He does not take casual BP hacks, he maxes out and swings with all-out effort. This extends to his in-game approach, a feature that gives some scouts pause and inspires concern that big league pitchers will pull the rug out from under him. There is some analytical fire to back up the smoke the scouts are smelling. Álvarez only ran a 75% Z-contact and 66% overall contact rate in the minors last year and has produced similarly low rates in the majors. That's near the bottom of the big league catchers' continuum and is almost identical to Joey Bart and Jorge Alfaro, both of whom have struggled to find big league footing on offense. Still, Álvarez has been 20 to 21 years old while facing Double-A pitching and above, so it's reasonable to project growth in this area. Plus, Álvarez isn't nearly as chase-prone as Alfaro and has much more power than Bart, so he should outperform both. His swing is designed for power. It has a bit of a loop and a steep plane to it, enabling him to crush mistakes to left and center field. He doesn't track pitches especially well (his head often flies all over the place) and he has mediocre barrel variability, so he's likely to swing and miss at an above-average clip in the big leagues, but he's going to get to an absurd amount of power for a catcher and produce at an All-Star offensive level for the position.
Defensively, Álvarez is still a bit of a mixed bag, but he's improved very quickly in a couple of key areas. The headline tool here is Álvarez's huge arm. He will sometimes pop below 1.80 seconds now that he's gotten better at leaving his crouch before the pitch has reached him. He's capable of making some ridiculous throws because of his athleticism and raw arm strength, but Álvarez will also botch the occasional exchange because his hands aren't great. He still tends to let low breaking balls travel too deep, making some frameable pitches look like they're comfortably below the zone. But he's gotten much better at blocking balls from the one-knee position in 2023, less often trying to use his 40-grade hands to pick everything in the dirt and more often moving laterally while maintaining a wide base to seal with his whole lower body. Álvarez receives on one knee with the bases empty and mixes his technique with runners on base. His quickness for an athlete his size is remarkable, and his style of receiving has facilitated that quickness and mobility in beneficial ways in 2023. Things are going pretty well for a 21-year-old tasked with catching the monster stuff of a contending team's pitching staff. It will probably be a while before Álvarez is banging on all cylinders, but he's holding his own as a defender and his power should keep his offensive output close to average while he adjusts to big league pitching and climbs toward premium production for the position a year or two from now.","TG-p0lUDzpM","26121"
11,1,"Jordan Walker","STL","RF","MLB",2023,"60","High",,"21.3583333","6' 5""","250","R","R",2020,"Draft","STL",2900000,"Decatur HS (GA)","Walker worked out as a pitcher, shortstop, and third baseman in high school, then had a rough draft spring amid some weight gain, which is part of why he fell deep into the first round. To say he looks like a steal is a drastic understatement at this point, as he is one of the most exciting young hitters in the minors, with elite power potential and superlative on-paper performance at Double-A throughout 2022, all while he was still not old enough to have a beer. His hot 2023 spring training led to Walker breaking camp with the big league team, and he kicked off his major league career with a record-tying 12-game hit streak. A subsequent slump on both sides of the ball led to his demotion to Memphis for adjustments and refinement, and he continued to struggle there before finding his footing in mid-May. We see this more as a developmental speed bump than a harbinger of doom and still think that if you're looking for the prospect most likely to hit 40 home runs in a season down the line, this is your player. 
Any discussion of Walker begins with his titanic power, which is already among the best in pro baseball. He has a simple, well-leveraged swing that takes advantage of his strength, and the long levers that come with his 6-foot-5, 250 pound frame produce jaw-dropping home runs when he really squares one up and plenty of wall-threatening contact when he doesn't. His approach is solid, though there are some issues chasing breaking balls and his in-zone swing-and-miss was a fair bit below average in 2022 (he swings inside a lot of sliders), but that was as a 20-year-old at Double-A.
Walker was initially developed as a third baseman, and his ability to bend and get deep into his legs, as well as his lateral agility and range, was pretty amazing for a player his size. But Walker's quick rise through the minors and Nolan Arenado's presence through 2027 dictated a move off of third base. Late in 2022, the Cardinals started giving Walker reps in the outfield, mostly in right, and he looked fine out there for someone who had just started playing there. While it was an encouraging first step and Walker still projects as a suitable defender in the outfield, he wasn't ready for the TV league and sometimes still looks uncomfortable making routine plays. His rocket arm will be a weapon in right and he should eventually be an average defender there. Even if he ends up at 1B/DH over time, Walker will hit for enough power to be a star. The speed at which Walker is able to make that level of impact is important considering many of the Cardinals' other key players are older.","zyAwB3KQByE","27475"
11,2,"Endy Rodríguez","PIT","C","MLB",2023,"55","Low",,"23.4027777","6' 0""","200","S","R",2018,"J2","NYM",10000,"Dominican Republic","As of list publication, Rodriguez is one of just two catchers on Pittsburgh's 40-man roster, and while it's possible he's beaten out by a veteran non-roster invitee like Tyler Heineman or Kevin Plawecki, Rodriguez's defensive chops and versatility give him a shot to break camp with the big club, split time with Austin Hedges, and moonlight at one or two other positions before eventually seizing the primary catcher job. Endy had an incredible 2022 statline — .323/.407/.590 — most of which was generated at hitter-friendly Greensboro. He's now a career .303/.394/.533 hitter and has had meaningful statistical success up through Double-A, where he spent about a month toward the end of 2022. 
From a heuristics standpoint, you can't do much better than Rodriguez's profile. He's a young, switch-hitting catcher with cartoonish offensive numbers (especially from a bat-to-ball standpoint) and uncommon defensive versatility, as he's played a bunch of second base and left field as well. Throw in the visual twitch and athleticism, and this is the player Spotify's algorithm would recommend to FanGraphs if prospects were musical artists. 
From the left side of the plate, Rodriguez has an exceptional ability to rip his hands through pitches on the inner edge of the zone. Out over the plate, he has a tendency to stay inside fastballs and lift them toward the opposite field gap. So compact and short to the baseball is Rodriguez that he can wait an extra beat to diagnose pitch types, which enables him to make in-flight adjustments to breaking balls, spoil the well-located ones, and crush the hangers. As a right-handed hitter almost all of Endy's damage is done on outer-third pitches that he can get fully extended against. His swing is quite uphill from the left side and he can tend to swing underneath fastballs up and away from him, but overall he is very difficult to make whiff inside the strike zone despite his steep-launch style of contact. 
On defense, Rodriguez's size is both a feature and a bug. He's naturally adept at framing low strikes because he's already so low to the ground, but it's also fair to wonder if such a small athlete can withstand the grind of catching 80-100 games every summer. Rodriguez's arm is comfortably plus. You can really see his athleticism and remarkable hip/shoulder separation on his throws down to second. His pop times are routinely in the 1.85-1.95 range in part because Endy has a strong arm, but also because he's almost always leaving his crouch before he even receives the pitch on steal attempts, which hastens his exchange. This level of athleticism might be an indication that Rodriguez will find a way to mature into more raw power despite not having a traditionally projectable frame. His swing is already geared for lift, but he doesn't currently have the raw juice to make the most of it. He's going to be a star if he ends up with even average raw power, and even if he doesn't, we're talking about a switch-hitting catcher who can make an impact on both offense and defense. He might end up becoming the player the industry hoped Francisco Mejía would become.",,"25332"
16,3,"Grayson Rodriguez","BAL","SP","MLB",2023,"55","Med",,"23.875","6' 5""","220","L","R",2018,"Draft","BAL",4300000,"Central Heights HS (TX)","The 11th overall pick in 2018 out of a Texas high school, Rodriguez saw his stuff tick up immediately after turning pro, and it steadily climbed each year until it took a step backward in 2022 amid a shoulder injury. Rodriguez was quite comfortably the most dominant pitcher in the minors in 2021, when he racked up nearly three times as many strikeouts as hits allowed. As is customary for pitching prospects near the tippity top of prospect lists, Rodriguez got hurt in 2022, suffering a Grade 2 lat strain in early June. Prior to the injury, he had allowed just 48 baserunners in 56 innings and struck out 80 men. He returned three months later and labored through a rocky September with Norfolk, during which he struggled with walks. Across the season as a whole, his fastball ""only"" sat 95 mph, and in his final start of the year it was mostly in the 93-96 mph range, which is a two-tick regression from 2021, when Rodriguez sat 96-98 all year. Scouts who saw him after Labor Day thought the quality and utility of his breaking balls (while still good) had also backed up a bit. Certainly from a velocity and spin (about 200 rpm) standpoint they had, though each is still capable of missing bats. 
There is still a front-end arm here, as well as a big, sturdy-looking frame that theoretically should be able to eat a ton of innings. Rodriguez's changeup, which falls through a trap door just as it approaches the plate, is among the best secondary pitches in the minors, garnering a 42% chase and whiff rate in 2022. He can vary his breaking ball shape and will occasionally show you 88-91 mph with cut, at other times 77-83 mph with sweep. It's still quite the arsenal, it's just that the breaking balls aren't all 60s and 70s anymore, or at least they weren't at the end of 2022. On last look, it was stuff that profiled in the middle of a contending team's rotation, rather than at the very front. Rodriguez is still a major league-ready impact prospect and is a prime American League Rookie of the Year candidate. He has a shot to break camp with the big club and play a huge role on the next Orioles contender.","XVnKhGydp9Y","24492"
12,1,"Luis Matos","SFG","CF","MLB",2023,"55","High",,"21.675","5' 11""","180","R","R",2018,"J2","SFG",725000,"Venezuela","After a stunning 2021 during which he slashed .313/.358/.494 as a 19-year-old (a performance that earned him Cal League MVP honors), Matos had a rough 2022. He hit just .211/.275/.344 in the Northwest League and his bat speed looked like it had regressed significantly compared to his electric foray into pro ball. Despite this, Matos remained tough to make swing and miss, and he ran a 16% K% last season. In part due to a quad strain and because it was his 40-man evaluation year, the Giants sent Matos to the Arizona Fall League to pick up reps and try to earn a roster spot. He didn't hit especially well in Arizona either, but the Giants weren't exactly deep with viable defensive center fielders, so they rostered Matos in the offseason. 
He has rebounded in a huge way so far in 2023 and rocketed through the upper-minors en route to a recent big league debut. Matos has always been tough to strike out, but in 2023 it's been nearly impossible, as he posted single-digit strikeout rates at Richmond and Sacramento prior to his call-up while his power also rebounded. Visual assessment of Matos' swing and his underlying data suggest the surge is real. He's still chase-prone, but his high-end exit velos are up compared to 2022, and the beautiful, 180-degree finish Matos' swing would show at peak has returned with greater frequency. Wielding one of the prettier righty swings in baseball, Matos is moving the barrel all over the zone and turning on up-and-in pitches with power again. 
His feel for center field helps him profile there despite middling speed for that position. There are some scouts who think he'll end up in a corner, but here he projects as a 50 glove in center. At minimum, we expect he'll perform similar to how Manny Margot has on offense, and Matos' ability to yank inside pitches out to his pull side should enable him to hit for more power than Margot and produce like an above-average center fielder.","80MpC-9ThE0","26467"
