#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1,Adam Ottavino,493603,1247,1247,7037,*01sgi*,NYY,RP,RP,Ottavino,Adam,,,
2,Matt Moore,519043,1890,1890,8029,*01fug*,BOS,RP,RP,Moore,Matt,Moore,Matt,Matt Moore
3,Clayton Kershaw,477132,2036,2036,7150,*005ih*,LAD,SP,SP,Kershaw,Clayton,Kershaw,Clayton,Clayton Kershaw
4,Carlos Santana,467793,2396,2396,7514,*01cfr*,CLE,1B,1B,Santana,Carlos,Santana,Carlos,Carlos Santana
5,Cory Rasmus,474284,2413,,8492,,TB,RP,RP,Rasmus,Cory,Rasmus,Cory,Cory Rasmus
6,Tommy Pham,502054,2967,2967,8919,*025fx*,PIT,OF,OF,Pham,Tommy,Pham,Tommy,Tommy Pham
7,Kenley Jansen,445276,3096,3096,7931,*01svz*,LAA,RP,RP,Jansen,Kenley,Jansen,Kenley,Kenley Jansen
8,Max Scherzer,453286,3137,3137,6837,*004ee*,TOR,SP,SP,Scherzer,Max,Scherzer,Max,Max Scherzer
9,T.J. McFarland,519008,3237,3237,8445,*02nho*,ATH,RP,RP,McFarland,T.J.,McFarland,T.J.,T.J. McFarland
10,Liam Hendriks,521230,3548,3548,8170,*01ub8*,BOS,RP,RP,Hendriks,Liam,Hendriks,Liam,Liam Hendriks
11,Justin Wilson,458677,4301,4301,8007,*025ko*,BOS,RP,RP,Wilson,Justin,Wilson,Justin,Justin Wilson
12,Charlie Morton,450203,4676,4676,6918,*005jn*,BAL,SP,SP,Morton,Charlie,Morton,Charlie,Charlie Morton
13,Jason Heyward,518792,4940,4940,7112,*01c5o*,SD,OF,OF,Heyward,Jason,Heyward,Jason,Jason Heyward
14,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,DH,DH,Stanton,Giancarlo,Stanton,Giancarlo,Giancarlo Stanton
15,Anthony Gose,543238,5097,5097,7938,*01sha*,NYM,RP,RP,Gose,Anthony,Gose,Anthony,Anthony Gose
