All Players Year to Date MLB Pitcher_import Categories
Avail,Player,MLB,Eligible,Rank,
South Carolina Ballcocks,Jeffrey Springs SP | ATH ,A,SP,1
Fairfax Flying Squirrels,MacKenzie Gore SP | WAS ,A,SP,2
Wrigleyville Fielders,Yoshinobu Yamamoto SP | LAD ,A,SP,3
Iowa Cubs,Sean Burke SP | CHW ,A,SP,4
Fairfax Flying Squirrels,Framber Valdez SP | HOU ,A,SP,5
Centreville Blue Sox,Logan Gilbert SP | SEA ,A,SP,6
Levittown Panthers,Kyle Freeland SP | COL ,A,SP,7
W ( 3/30),Tylor Megill SP | NYM ,A,SP,8
Richmond Hippies,Kevin Gausman SP | TOR ,A,SP,9
Fairfax Flying Squirrels,Zach Eflin SP | BAL ,A,SP,10
Midlothian DeadHeads,Carlos Rodon SP | NYY ,A,SP,11
Richmond Hippies,Mitch Keller SP | PIT ,A,SP,12
Iowa Cubs,Jason Adam RP | SD,A,RP,13
W ( 3/30),Landon Knack SP | LAD,M,SP,14
Wrigleyville Fielders,Zack Wheeler SP | PHI ,A,SP,17
East Carolina Bucs,Jack Leiter SP | TEX ,A,SP,18
Richmond Hippies,Nathan Eovaldi SP | TEX ,A,SP,19
Levittown Panthers,Robert Suarez RP | SD ,A,RP,20
Lewisberg All Blacks,Sonny Gray SP | STL ,A,SP,21
W ( 3/30),Jose Alvarado RP | PHI,A,RP,22
Centreville Blue Sox,Merrill Kelly SP | ARI ,A,SP,24
Midlothian DeadHeads,"Shohei Ohtani DH,SP,U | LAD ",A,"DH,SP,U",25
Southern Playaz,Luis Severino SP | ATH ,A,SP,26
Southern Playaz,Aroldis Chapman RP | BOS ,A,RP,27
Fairfax Flying Squirrels,Pete Fairbanks RP | TB ,A,RP,28
W ( 3/30),Tyler Rogers RP | SF,A,RP,29
Centreville Blue Sox,Ryan Pepiot SP | TB ,A,SP,30
W ( 3/30),Wandy Peralta RP | SD,A,RP,31
W ( 3/30),Jesus Tinoco RP | MIA ,A,RP,32
W ( 3/30),Blake Treinen RP | LAD ,A,RP,33
Lewisberg All Blacks,Hunter Greene SP | CIN ,A,SP,34
W ( 3/30),Elijah Morgan RP | CHC ,A,RP,37
W ( 3/30),Trent Thornton RP | SEA,A,RP,38
W ( 3/30),Shelby Miller RP | ARI ,A,RP,40
W ( 3/30),Anthony Banda RP | LAD,A,RP,40
Fairfax Flying Squirrels,Paul Skenes SP | PIT ,A,SP,42
Iowa Cubs,Freddy Peralta SP | MIL ,A,SP,43
East Carolina Bucs,Jack Flaherty SP | DET ,A,SP,45
W ( 3/30),Kirby Yates RP | LAD,A,RP,46
Wrigleyville Fielders,Ryan Helsley RP | STL ,A,RP,47
Lewisberg All Blacks,Edwin Diaz RP | NYM ,A,RP,48
Fairfax Flying Squirrels,Justin Slaten RP | BOS ,A,RP,48
W ( 3/30),Paul Sewald RP | CLE ,A,RP,48
Centreville Blue Sox,Shota Imanaga SP | CHC,A,SP,51
Lewisberg All Blacks,Hunter Brown SP | HOU ,A,SP,52
W ( 3/30),Caleb Thielbar RP | CHC,A,RP,53
W ( 3/30),Yuki Matsui RP | SD,A,RP,54
Iowa Cubs,Blake Snell SP | LAD ,A,SP,55
Centreville Blue Sox,Yusei Kikuchi SP | LAA ,A,SP,56
W ( 3/30),Caleb Ferguson RP | PIT,A,RP,58
Midlothian DeadHeads,Andres Munoz RP | SEA,A,RP,59
W ( 3/30),"Shawn Armstrong RP,SP | TEX",A,"RP,SP",60
W ( 3/30),Jalen Beeks RP | ARI ,A,RP,61
Richmond Hippies,Emmanuel Clase RP | CLE ,A,RP,63
W ( 3/30),Alex Vesia RP | LAD,A,RP,64
W ( 3/30),Jeremiah Estrada RP | SD,A,RP,65
W ( 3/30),Huascar Brazoban RP | NYM ,A,RP,65
W ( 3/30),Penn Murfee RP | CHW,A,RP,67
W ( 3/30),Gregory Soto RP | BAL,A,RP,67
Centreville Blue Sox,Porter Hodge RP | CHC ,A,RP,70
W ( 3/30),Garrett Whitlock SP | BOS,A,SP,71
Lewisberg All Blacks,Luis Castillo SP | SEA ,A,SP,73
Wrigleyville Fielders,Sandy Alcantara SP | MIA ,A,SP,74
W ( 3/30),"Tyler Holton RP,SP | DET",A,"RP,SP",75
W ( 3/30),Emilio Pagan RP | CIN,A,RP,76
Midlothian DeadHeads,Cade Smith RP | CLE,A,RP,76
W ( 3/30),Tony Santillan RP | CIN ,A,RP,76
W ( 3/30),Scott Barlow RP | CIN ,A,RP,76
W ( 3/30),Luis Contreras RP | HOU,A,RP,76
W ( 3/30),Mark Leiter RP | NYY ,A,RP,76
W ( 3/30),John Brebbia RP | DET,A,RP,76
South Carolina Ballcocks,"Grant Holmes RP,SP | ATL ",A,"RP,SP",76
W ( 3/30),Tim Herrin RP | CLE,A,RP,76
W ( 3/30),Steven Okert RP | HOU ,A,RP,76
W ( 3/30),Tommy Kahnle RP | DET,A,RP,76
W ( 3/30),"Mitch Spence RP,SP | ATH",A,"RP,SP",87
W ( 3/30),Ben Casparius RP | LAD,A,RP,87
W ( 3/30),Adrian Morejon RP | SD,A,RP,89
W ( 3/30),Ryan Borucki RP | PIT ,A,RP,90
Southern Playaz,Chris Martin RP | TEX ,A,RP,90
W ( 3/30),"Brennan Bernardino RP,SP | BOS",A,"RP,SP",92
W ( 3/30),Nick Sandlin RP | TOR,A,RP,93
W ( 3/30),Matt Strahm RP | PHI ,A,RP,94
W ( 3/30),Cole Sands RP | MIN,A,RP,94
Iowa Cubs,Hunter Harvey RP | KC,A,RP,94
W ( 3/30),Joe Mantiply RP | ARI,A,RP,94
Northern Virginia River Rats,Carlos Estevez RP | KC,A,RP,94
W ( 3/30),Anthony Veneziano RP | MIA,A,RP,94
W ( 3/30),Daysbel Hernandez RP | ATL,A,RP,94
W ( 3/30),"Erik Miller RP,SP | SF",A,"RP,SP",94
South Carolina Ballcocks,Pierce Johnson RP | ATL,A,RP,94
W ( 3/30),Yimi Garcia RP | TOR,A,RP,94
W ( 3/30),T.J. McFarland RP | ATH ,A,RP,94
W ( 3/30),Hunter Bigge RP | TB ,A,RP,94
W ( 3/30),Chris Roycroft RP | STL,A,RP,94
Northern Virginia River Rats,Luis Garcia RP | LAD,A,RP,109
W ( 3/30),George Soriano RP | MIA,A,RP,110
W ( 3/30),Brendon Little RP | TOR ,A,RP,111
W ( 3/30),Tyler Phillips SP | MIA ,A,SP,112
Northern Virginia River Rats,Ben Lively SP | CLE ,A,SP,114
Fairfax Flying Squirrels,Luke Weaver RP | NYY,A,RP,115
W ( 3/30),Reed Garrett RP | NYM,A,RP,115
W ( 3/30),Randy Rodriguez RP | SF,A,RP,115
W ( 3/30),Jacob Webb RP | TEX,A,RP,118
Midlothian DeadHeads,Tanner Scott RP | LAD ,A,RP,119
East Carolina Bucs,Ryan Walker RP | SF ,A,RP,120
W ( 3/30),"Tyler Alexander RP,SP | MIL ",A,"RP,SP",122
South Carolina Ballcocks,A.J. Minter RP | NYM,A,RP,122
Midlothian DeadHeads,Mason Montgomery RP | TB,A,RP,122
W ( 3/30),Danny Young RP | NYM,A,RP,122
W ( 3/30),Hunter Gaddis RP | CLE,A,RP,122
W ( 3/30),Phil Maton RP | STL,A,RP,122
W ( 3/30),Bryan Baker RP | BAL,A,RP,122
W ( 3/30),Greg Weissert RP | BOS ,A,RP,122
