,overall_ranking,first_name,last_name,pos,team,body
1,1,Roman,Anthony,OF,BOSTON RED SOX,"Age: 21 Ht: 6-2 Wt: 200 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 4/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 22 Anthony has shot through the minors, reaching Triple A in his second full pro season out of high school, thanks to one of the best swings in all of the minors and an extremely advanced approach for a hitter so young. A 2022 second-round pick, Anthony changed his setup that offseason, freeing up his hands to loosen his whole swing through contact while also getting his hips and legs more involved to help him hit the ball harder, and it paid off almost immediately. Since his early 2023 promotion to High A, heʼs hit .294/.405/.521 across three levels, ﬁnishing last season in Triple A with as many walks as strikeouts at that stop. His average exit velocity for Triple-A Worcester was 88 mph, although he did start to hit the ball on the ground more (52 percent) in that brief stint, not a major concern but something to watch as he gets so close to a promotion to the majors. Heʼs very disciplined for his age, chasing just 20 percent of the time in Triple A, with a whiff rate under 9 percent, picking up spin very well even at a level when he was facing guys whoʼd pitched in the majors. Anthony has mostly played center in the minors, but heʼs not very rangy and heʼs maybe an average runner, so heʼs much more likely to end up in a corner, supplanted in center by someone with plus range. Heʼs got a chance to be a 30-homer, high- average, high-OBP guy in right ﬁeld, maybe with plus defense there, which is a “best player in the league” proﬁle. https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 5/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Photo:AP Images MLB Teams • • • • • • BOSTON RED SOX OF"
2,2,Sebastian,Walcott,"SS,3B",TEXAS RANGERS,"Age: 19 Ht: 6-4 Wt: 190 Bats: R Throws: R 2024 Ranking: 40 Walcott started the year in High A as an 18-year-old, joining Ethan Salas as the only players that young to start 2024 anywhere above Low A, and he started very slowly, hitting just .196/.326/.315 through the end of May. From then on, he cooked, hitting .296/.351/.511 until a late-season promotion to Double A, so that on the whole he ended the year with an OBP 17 points above the Sally League average and a slugging percentage 78 points above it — all as the https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 6/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic leagueʼs youngest regular. The Bahamian-born Walcott looks like a man among boys, as heʼs 6- MLB Teams • • • • • • foot-4 or 6-foot-5 and clearly more than his listed 190 pounds, with a wide frame thatʼs going to let him pack on some upper body strength. Heʼs an excellent athlete with above-average speed and gets very high marks for his feel for the game, including his ability to make in-game and in- season adjustments. Heʼs got tremendous bat speed and already produces hard contact at a very high rate, so thereʼs every reason to hope he can be a 30-homer guy with a high average even if his strikeout rate remains in the 24-25 percent range. Walcott is a shortstop now, and not bad there, but heʼs extremely likely to outgrow the position — heʼs going to be larger than Carlos Correa or Corey Seager, two bigger guys who deﬁed expectations to remain at short. At worst, youʼve got a right ﬁelder who hits for average and power. He wonʼt even turn 19 until the ﬁrst week of March, so he has plenty of time to keep turning these immense physical gifts into baseball skills. I think heʼs underrated already, and heʼs my pick to be the No. 1 prospect a year from now. Photo:Getty Images TEXAS RANGERS SS 3B"
3,3,Samuel,Basallo,C,BALTIMORE ORIOLES,"Age: 20 Ht: 6-4 Wt: 180 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 7/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 20 Basallo might be hopelessly blocked at the moment by Adley Rutschman, but heʼs the best catching prospect in baseball right now, having produced at every level up through Double A before his 20th birthday while showing enough tools and athleticism to project as an above- average defender. Signed for a $1.3 million bonus in January 2021, Basallo has a fantastic swing thatʼs short to the ball but hard enough to produce plus power already, with more to come as he matures. Heʼs shown excellent plate discipline so far, and has hit left-handed pitching extremely well throughout his career, avoiding the platoon concerns that bedevil so many left-handed hitting prospects. Even in a tough debut in Triple A, where he really struggled to adjust to changeups, he still topped 110 mph (off a lefty!) and averaged 91 mph across all balls he put into play. Heʼs got at least a 70 arm and is athletic enough to become a 55 receiver and blocker, although right now heʼs succeeding more on his pure physical ability and needs more polish on the ﬁner points of catching. Basallo will probably be ready for a big-league role by the end of 2025, which will present a big dilemma for the Orioles, as theyʼre one of the only teams in baseball for whom he wouldnʼt be a huge upgrade behind the plate — and if Rutschman is “just” a 3-4 WAR player, as heʼs been the last two years, Iʼm not so sure that heʼs the better option. https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 8/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Photo:AP Images MLB Teams • • • • • • BALTIMORE ORIOLES C"
4,4,Walker,Jenkins,OF,MINNESOTA TWINS,"Age: 20 Ht: 6-3 Wt: 210 Bats: L Throws: R 2024 Ranking: 15 Jenkins has earned comparisons to Larry Walker since he was a high school junior, which I always suspected was at least a little bit driven by his ﬁrst name, but there are more similarities than that. Jenkins is also a tall, athletic, and very strong left-handed-hitting corner outﬁelder, and heʼs advanced quickly through the low minors when healthy by showing exceptional swing decisions — he seldom swings and misses (just 17.5 percent last year) and doesnʼt chase pitches out of https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 9/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic the zone very often (24.6 percent), unusual for a hitter of his size and power potential. He has a MLB Teams • • • • • • fantastic left-handed swing that gets him to the ball quickly and puts the ball in the air more often than on the ground, while heʼs shown the ability to go the other way when pitchers try to attack him on the outer third. That feel to hit as a 19-year-old whoʼs already reached Double A is part of what makes him so exciting as a prospect; he already can hit, and thereʼs size and strength here for plus power as he continues to grow and develop. Heʼs mostly played center in the minors, but I still think heʼs heading to right ﬁeld between his size and just average speed so far. He also missed almost two months to start 2024 with a hamstring injury, so he hasnʼt played a full season yet. He should return to Double A to start 2025, and if he stays healthy, I wouldnʼt be surprised at all to see him get a call-up in September given how much hard contact heʼs already making as a teenager. Photo:AP Images MINNESOTA TWINS OF"
5,5,Colt,Emerson,SS,SEATTLE MARINERS,"Age: 19 Ht: 6-0 Wt: 195 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 10/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 37 If Emerson had stayed healthy all year, he would have been close to the very top of this list, just based on how good he looked and how well he performed when he was able to take the ﬁeld. The 22nd pick in 2023, Emerson went to Low A to start last year as an 18-year-old — his birthday is in late July — and hit .293/.440/.427 in 40 games, walking more than he struck out. The Mariners bumped him up to High A in early August, and he hit .225/.331/.317 in 29 games there — but still made plenty of contact — and then hit .370/.436/.537 as one of the youngest players in the Arizona Fall League. The bad news is that he played a total of 83 games between the regular season and the AFL, hitting the IL in April with an oblique strain, breaking a bone in his foot by fouling a ball off it in mid-May, and then leaving Arizona in early November after straining a hamstring. Heʼs played about 80 percent of his pro innings at shortstop and has shown the range and instincts to stay there, even though heʼs just an average runner; if his propensity to get hurt continues as he matures, he may be better served moving to third or second, but he's so much more valuable at short that heʼll probably stay there at least through the high minors. He has all of the ingredients to be a hitter for a high average and OBP, with a short path to the ball, excellent bat speed and a strong approach for his age. He might only lack the power to get to the upper https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 11/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic echelons of MLB position players, but he also has an extra year (so to speak) to develop that MLB Teams • • • • • • when compared to other elite shortstop prospects. Photo:Getty Images SEATTLE MARINERS SS"
6,6,Max,Clark,OF,DETROIT TIGERS,"Age: 20 Ht: 6-0 Wt: 205 Bats: L Throws: L 2024 Ranking: 14 Clark was the third pick in the loaded 2023 draft, and while I know some Tigers fans gnashed their teeth when Wyatt Langford (taken fourth) reached the majors last spring, Clark is one of the very https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 12/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic best prospects in the minors and still projects as a star, especially coming off a very strong 2024. MLB Teams • • • • • • Playing at just 19 the entire season, Clark hit .286/.386/.421 in the pitcher-friendly Florida State League, then hit .264/.344/.421 after a July promotion to High A, while stealing 29 bases in 33 attempts on the year. His pitch recognition and selection remain very strong — he whiffed just 8.1 percent of the time he swung in Low A, and chased just 22.6 percent of the time, per Statcast data from that level — and he topped out at 106 mph in exit velocity, but he hit the ball on the ground a ton, as he can get too ﬁrm on the front side and ends up on top of the ball too often. Heʼs a true center ﬁelder who was a 55 runner last year, down from 70 speed in high school, and showed just an average arm, all of which was also a bit down from high school, possibly just the result of a much longer season and more frequent play than heʼd experienced before as an amateur in Indiana. His ﬂoor is a regular in center with high on-base percentages and plus defense; his ceiling, if the Tigers help him regain some speed and get him to loosen up his front side to drive the ball more, is a 25-homer/40-steal on-base machine. Photo:Getty Images DETROIT TIGERS OF"
7,7,Dylan,Crews,OF,WASHINGTON NATIONALS,"Age: 23 Ht: 5-11 Wt: 203 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 13/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 7 Crews was the second pick in the 2023 draft and made his major-league debut about 13 months after signing, advancing quickly through the minors as expected but without the dominance that most people anticipated. Crews hit .274/.343/446 in Double A, in a good hittersʼ park in Harrisburg, and .265/.340/.455 at Triple-A Rochester. It was a solid performance, boosted by above-average defense in center ﬁeld, but heʼs not just any prospect — he won the 2023 Golden Spikes award after starring at LSU and beating up on SEC pitching for three years. The good news is that his batted-ball data points to better results going forward, as he ran into some bad luck in the majors despite hitting the ball pretty hard in a small sample; his hard-hit rates in Triple A (43.3 percent) and the majors (44.7 percent) were both above the median, even though he was just 22 and young for both levels. Heʼs closed off some of the trouble he had in 2023 with fastballs up in the zone, and missed just 10 percent of the fastballs he swung at in the majors. He hit lefties ﬁne in his brief sample in the big leagues as well, struggling mostly against breaking stuff from righties, especially down and away. Even with the tepid performance in the high minors, he still shows the underlying characteristics of an above-average hitter in the big leagues, and that coupled with what is probably grade 55 defense in center — or plus if he moves to a corner at any https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 14/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic point — would still make him at least a consistent 3-4 WAR player right now. Iʼm still hopeful MLB Teams • • • • • • thereʼs more upside here with the bat than heʼs demonstrated in his year-plus in pro ball. Photo:Getty Images WASHINGTON NATIONALS OF"
8,8,Carson,Williams,SS,TAMPA BAY RAYS,"Age: 22 Ht: 6-2 Wt: 180 Bats: R Throws: R 2024 Ranking: 38 Williams is the most enigmatic prospect in the minors to me: He does absolutely everything youʼd want a position-player prospect to do, except he strikes out way too often — he does all of those https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 15/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic other things despite a 28.5 percent strikeout rate in Double A last year that should be, if not MLB Teams • • • • • • disqualifying, a major demerit on his scouting report. Williams is a plus defender at short with an easy plus arm. He has 70 speed and shows above-average to plus power, hitting 20 homers for the second year in a row. He doesnʼt chase pitches out of the zone much at all — his chase rate last year was 22 percent according to Synergy Sports, which puts him well below the overall MLB rate, but when he does chase, he nearly always whiffs, and he also misses pitches in the zone more than youʼd like. Itʼs a decision issue rather than a mechanical one, but Williams performs so well in spite of the whiffs that changing his approach risks taking away some of the production as well. His 2024 season may also undersell his abilities, as he was hit on the hand by a pitch in June, missed just six days, and wasnʼt the same hitter afterward. He was hitting .294/.376/.552 with a 27.1 percent strikeout rate at the time of the injury, then hit .220/.324/.382 with a 29.4 percent strikeout rate after his return, which makes me suspect he was more hurt than he let on and just played through it. At worst, heʼs a shortstop with plus power, defense, and baserunning value who might just hit for a lower average because of the strikeouts. Thatʼs a 4-WAR player in a full season because of the value of the position, and I wouldnʼt rule out him getting beyond that with even tiny adjustments to his swing choices. Photo:AP Images TAMPA BAY RAYS SS"
9,9,Kristian,Campbell,"2B,OF",BOSTON RED SOX,"Age: 23 Ht: 6-3 Wt: 191 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 16/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked Campbell was my minor league player of the year for 2024 after he posted a .330/.439/.558 line across three levels, from High A through Triple A, in his ﬁrst full year in pro ball. The Red Sox took him in the fourth round in 2023 as a redshirt freshman at Georgia Tech, betting on the makeup and the athleticism, and that good scouting work paid off as he not only hit at every level but did so while playing four positions — second, short, third, and center. Heʼs a plus runner whoʼs fast enough to play any of those spots, but his fringy arm probably limits him to second or center, with second his best position right now and in the long run as well. His swing has a little funk to it and he can get ﬂat through contact, resulting in a 60 percent groundball rate in his brief time in Triple A, but he has an incredible eye at the plate and gets the bat to the ball consistently enough for hard contact. He does have some holes heʼll have to work on, including four-seamers up and anything moving down and in under his hands or at his front hip, some of which may just be a function of his limited experience before getting to Triple A. Heʼs also already gained 10-15 pounds of further muscle this winter, which could help with bat control and getting some more loft through contact. He could easily be a plus defender at second and at worst should post high OBPs with 20-30 steals and 50+ extra-base hits a year. https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 17/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Photo:AP Images MLB Teams • • • • • • BOSTON RED SOX 2B OF"
10,10,Jordan,Lawlar,SS,ARIZONA DIAMONDBACKS,"Age: 22 Ht: 6-1 Wt: 190 Bats: R Throws: R 2024 Ranking: 4 The 2024 season was a lost year for Lawlar, who tore a ligament in his right thumb in March, then hurt his left hamstring twice while on rehab assignments, limiting him to just 104 regular-season PA and keeping him out of the majors entirely after he debuted in 2023. He did go play for Licey in the Dominican Winter League and doubled his playing time for the calendar year, although he didnʼt hit as well there, leaving him probably no further along than he was this time last year. Heʼs https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 18/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic a really athletic shortstop who has shown he can make hard contact to hit for high averages, MLB Teams • • • • • • hitting more line drives to the gaps than balls into the seats, only getting to more power when he played in the hittersʼ havens of Amarillo and Reno in 2023. His swing is pretty short to the ball, with good follow-through thatʼs on a lower plane for line drives, and his wrists are so strong that heʼs going to at least get to a high doubles total and probably still hit 15-20 homers at his peak. He didnʼt run much last year but has plus speed and good instincts on the bases, all of which could also help him if he ends up moving to center ﬁeld in deference to a plus defender at shortstop. If left at the position, he could be a 50/55 defender, thanks to some strong work by Arizonaʼs player development crew. I did note some concerns about him lunging out of his swing in 2023, but thatʼs all on the back burner now as we wait to see the healthy version of him return this spring training. He's got a strong ﬂoor as an everyday guy, at short or center or maybe even second, but if he can stay healthy and push that power to more like 20 homers or 60+ extra-base hits, heʼd be more of an All-Star. Photo:Getty Images ARIZONA DIAMONDBACKS SS"
