Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Proj Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Shunpeita Yamashita","SP","NPB",2028,"22.6083333","Japan","Orix Buffaloes",,,"6' 2""","215","R","R","55","High","Yamashita took an enormous leap as a ""prospect"" in 2023 when he sustained a five-tick (!) fastball velo bump despite a huge increase in his season-long workload. Yamashita posted a 1.99 ERA across 95 innings in 2023, his first in Japan's big league after two years with Orix's farm club. His 2024 got off to a very rocky start, and Yamashita was demoted to the bullpen and then the minors before he rebounded in a profound way and was utterly dominant down the stretch. 
A first round pick out of high school in 2020, Yamashita is now built like an NFL quarterback at a strapping 6-foot-2. In addition to his plus, mid-90s velocity, he features a monster upper-70s curveball with hitter-finishing depth. His seldom used splitter began to improve late in the 2023 season and by the end of 2024 was generating a ton of whiffs, getting by far the most chase and miss of any of Shunpeita's offerings. Yamashita has gone from a 21-year-old who might one day have three plus pitches to a 22-year-old who now does, albeit across a relatively small sample. Aspects of his profile are still volatile, and it's plausible his early-season struggles in 2024 stemmed from fatigue caused by his previous season's huge innings increase. But Yamashita's stuff, build, and athleticism are all indicative of a mid-rotation big league starter. He won't meet MLB's requirements for an amateur bonus pool exemption until after the 2027 season, so it will likely be quite a while before we see him on our shores.","bkbSXjZ_fU4",
"Munetaka Murakami","3B","NPB",2026,"25.0638888","Japan","Yakult Swallows",,,"6' 2""","250","L","R","50","Med","Murakami's 2023 and 2024 seasons were a bit of a letdown after his 10-WAR, 56-homer MVP campaign in 2022, but he's still been very good for a player his age in the world's second-hardest league. After 2022, he looked like a top three to five global prospect and arguably presented a more stable statistical argument than the similarly talented players from the lower-level MLB affiliates, since Murakami had multiple years of success against polished pitching in Japan. He has <em>merely</em> posted a wRC+ right around 150 each of the last two years, his lowest since his age-19 season (he debuted at 18) and a far cry from his godlike 223 wRC+ in 2022. His season ended with a broken big toe.
Murakami's deficiencies have remained mostly the same since his report was last updated. He is still swinging underneath a ton of fastballs up and away from him, and struggles significantly with velo. He managed to hit just .154 against fastballs 93 mph and above in 2024. He is going to be end up with a below-average MLB hit tool, and his whiff issues are profound enough that he has non-zero bust risk despite his success in NPB.
Titanic pole-to-pole power remains Murakami's carrying tool. He turns on mistakes that he sends into pull-side orbit while also spraying pitches on the outer half into the left field bleachers. There is a combination of strength, athletic explosion, and flashes of lower half flexibility here that few MLB hitters wield, and Murakami's pop stands out even when comparing him to MLB's most fearsome power hitters. He has a terrific ability to recognize breaking balls and offspeed stuff, and will often keep his weight back to hit secondary pitches the opposite way and use his natural strength to turn defensive swings into doubles. He has 40-homer raw power, though he'll probably hit fewer than that because of infrequent contact.  
Murakami improved as a third baseman in 2024 and now projects to stay at that position, albeit as a below-average defender. His grade slides for the second consecutive year as he looks more like a five-hole hitting 3B/DH.","rT-Ss-MQO9w",
"Liván Moinelo","SP","NPB",2026,"29.2138888","Japan","Fukuoka Hawks",,,"6' 0""","175","L","L","50","Med","Moinelo's 2023 campaign was cut short due to arthroscopic elbow surgery for osteochondritis dissecans, an injury involving bone and cartilage (but not ligaments) more common in youth athletes than adults. This, plus Moinelo's desire to move from the bullpen to the starting rotation, made his potential MLB timeline and role less clear than it had been for the last handful of years when he was a steady late-inning reliever for Fukuoka and the Cuban National Team. 
In 2024, Moinelo made a very successful transition to Fukuoka's rotation, posting a 1.88 ERA in 25 starts, which was fifth best in the league. He only pitched 30 innings before his season-ending surgery in 2023 and then 163 innings in 2024, and Moinelo's fastball velocity bent a bit under the weight of a starter's workload, but he was still going right at hitters with his usual velocity late into the postseason, holding in the 92-94 range. 
Moinelo is an exceptionally whippy athlete and he might have more in the tank as he gets further away from his surgery. He mixes in three distinct, MLB-quality secondary pitches pretty evenly and can pitch backwards off of both his changeup and curveball. Moinelo's early-career issues with walks began to rapidly improve starting in 2022 and he's now had three consecutive seasons of starter-quality control. He's not a surgeon, but he competes enough in the zone with four good pitches to be considered a good team's fourth starter. Coming off a very strong postseason, Moinelo and Raidel Martinez venture to Taiwan as part of Cuba's Premier12 roster.","bkiS-MPdKEM",
"Hiroto Takahashi","SP","NPB",2027,"22.5444444","Japan","Chunichi Dragons",,,"6' 0""","187","R","R","50","Med","Takahashi is one of the harder-throwing young pitchers in NPB, with a fastball that resides in the 93-95 mph range and was up to 98 during his Premier12 carving of Team USA late in 2024. He's held this velocity under a 150-inning workload each of the last two seasons. The 2022-23 offseason blurb for Takahashi indicated that I wanted to see his secondary stuff take a step forward, and his splitter and curveball have begun to. The curveball now has considerably more power and showed a four-tick velocity bump in 2023, while his splitter garnered about 40% chase and miss rates, per Synergy, in 2024. Takahashi is still very skinny (especially in his lower half) and tightly wound in a way that would give the amateur scouting world pause about his ability to start were he a college pitcher here in the U.S., but two consecutive years of velo gains under a pretty substantial innings load should help to quell those concerns. He has a mid-rotation starter look.","o3wEr_xVK1I",
"Haruto Inoue","SP","NPB",2028,"23.7833333","Japan","Yomiuri Giants",,,"5' 9""","170","L","L","50","Med","Inoue is a supremely bouncy and athletic little lefty who just wrapped up his first full NPB season, working 101 innings across 25 appearances, 15 of them starts. Inoue is short, but he's an athletic anomaly with a very powerful delivery for a fellow his size. His upshot fastball can miss bats at the letters even though it isn't that hard, and Inoue mixes in several other pitches that break in different directions. His splitter is especially nasty, and he can vary the shape and depth on his breakers to match his opponents' vulnerabilities. This is as much a bet on Inoue's athleticism as any other aspect of his profile. He's in position to seize a Giants rotation spot in 2025 and become one of NPB's better pitchers during the next three seasons or so.","pHRVujMUQo8",
"Do Yeong Kim","3B","KBO",2030,"21.3972222","South Korea","KIA Tigers",,,"6' 0""","187","R","R","45+","High","Do Yeong is coming off a monster breakout in his age-20 season that ended with his KIA Tigers winning the KBO title. He slashed .347/.420/.647 with 38 homers and 40 steals while playing good third base defense, an MVP-caliber season. Of medium build, Kim has to swing hard to generate his all-fields home run power, and it's very difficult to tell whether his hit tool would hold water against MLB stuff with this style of hitting. If Kim can simplify his swing and retain good game power as he gets stronger, he'll give himself a better shot. Does he have 40-homer MLB power? No. There's more like 20-25 homer power here right now, and at a relatively generic 6-foot-1 or so, there's probably not much more raw power on the way. But Kim does basically everything well, he's fairly fast, and he plays a good third base for his age. He's got a shot to be a five-tool player, but none of those tools seems likely to be plus. Were he a college junior, he'd comfortably be in the first round mix.",,"kr3018059"
"Luis Hernandez","SS","Int'l Amateur",2026,"17.0888888","Venezuela",,"SFG",,"5' 10""","170","R","R","45+","High","Among the more well-rounded and skillful players in the 2026 class, Hernandez is a righty-hitting infielder with a gorgeous, effortless swing. He has precocious bat control and gap-to-gap power. He's trained at Carlos Guillén's academy, and played for los Samanes de Aragua in Venezuela's LMPB (their summer pro league, distinct from winter ball) in 2024 against much, much older players, showing flashes of his power amid predictably inconsistent play. He lacks the premium projection of most top-of-the-class talents, but projects to have the contact/power blend of an everyday infielder.",,
"Atsuki Taneichi","SP","NPB",2026,"26.4666666","Japan","Chiba Lotte Marines",,,"6' 0""","183","R","R","45","Low","Taneichi went to Driveline coming off of a Tommy John surgery that cost him the 2021 season and increased his fastball velocity by two and a half ticks. He's averaged more than a strikeout per inning each of the last three seasons, a rarity in Japan. The very athletic and limber Taneichi has roughly average stuff, but he goes right at hitters and has improved his strike throwing and innings count each year since returning from TJ. He'd be a stable strike-throwing no. 4/5 starter in MLB.","jIXCGHjn24E",
"Shosei Togo","SP","NPB",2027,"24.8916666","Japan","Yomiuri Giants",,,"6' 3""","210","R","R","45","Low","Togo is a super durable and consistent starter who has already made four NPB All-Star teams at age 24. He operates at the bottom of the zone and below with great breaking stuff and a very tempting splitter that has remarkably consistent finish. Togo doesn't throw especially hard but he can really pitch, his secondary stuff is good, and he takes his turn in the rotation every time. He has exceeded 170 innings each of the last three years and kept his walk rate down in the 6-7% area. Though Togo isn't an exceptional athlete, he's lanky, and he's broad-shouldered and limber enough to repeat his delivery with ease. Higher release point pitchers like Togo sometimes lean into sink/tail action on their fastball, but that's not happening here yet, and his heater is vulnerable in the zone. Togo is having success in NPB and probably has another gear in his fastball at peak. Here he's considered a high-floored no. 4/5 starter type.","iW8ZmJP2EJc",
"Raidel Martinez","SIRP","NPB",2026,"28.3722222","Cuba","Nagoya Dragons",,,"6' 3""","205","R","R","45","Low","Martinez is a very long and lanky 6-foot-4 Cuban righty whose fastball will peak in the 99-100 mph range. Coming off an unbelievable 2023 — 46.2 IP, 0.93 FIP, 58% GB%, 36% K%, 2% BB% — Martinez set NPB's save record for a Latin American pitcher in 2024, netting 43 of them and surpassing Robert Suarez's previous mark. Martinez has kept his walk rate under 6% every year since 2021 and has been one of the more dominant NPB relievers of the past half decade. While his contract with Chunichi expired after 2024, Cuban reporter Francys Romero indicated on his Substack that Martinez will explore free agency in Japan rather than the U.S. and remain in NPB for at least one more year. 
Martinez throws very hard, and his combination of size, lever length, and vertical arm slot give him a release point in the troposphere. His heater is very tough to get on top of when it's located at the top of the zone, but Raidel's money pitch is a low-90s splitter that is not only capable of missing bats but also enables him to generate a ton of groundballs. An upper-80s slider gives Martinez a third viable weapon, and it generated a chase rate north of 40% in 2024. This is a plug-and-play late-inning reliever who looks like he'd be a setup man on a contender if he comes to MLB.","0-SdJsfgyCQ","sa3023350"
"Taisei Ota","SIRP","NPB",2028,"25.6555555","Japan","Yomiuri Giants",,,"5' 11""","195","R","R","45","Med","One of the nastiest relievers in NPB, Ota has stuff that would play in the late innings of an MLB game. He sits 95-96 with hellacious rise and run action, and will touch 99. He takes a big, low-to-the-ground stride, has incredible arm speed and a deceptive, whippy arm action, and the movement on his fastball is often explosive. Ota's splitter falls off the table when it's at its best, but his release isn't consistent, and whether Ota can polish his release point will dictate his ultimate ceiling. He could be an MLB closer one day, though because he was a college draft pick who only has three NPB seasons under his belt, he's still a few years away from being exempt from amateur bonus pools.","Ps5iQ2slG0o",
"Kazuma Okamoto","1B","NPB",2026,"28.6527777","Japan","Yomiuri Giants",,,"6' 0""","212","R","R","40+","Med","Okamoto has been one of NPB's most productive power hitters since 2018, and until 2024 had had six straight seasons of clubbing 30 or more home runs, including a 2023 campaign in which he hit 41 of them while slashing .278/.374/.584, good for a 178 wRC+. It was at that point that public reports surfaced about MLB teams scouting Okamoto. His 2024 campaign wasn't as stellar, as he ""merely"" slashed .280/.362/.501 but posted a career-best 15% strikeout rate. After the 2024 MLB season, rumors that Okamoto would be posted during the offseason grew within baseball but they weren't uniform. 
Okamoto's most resonant and interesting skill is his extreme ability to pull the baseball. His spray chart looks like Isaac Paredes', with all kinds of fly balls peppering the left field foul pole. Some teams' regression models seem to have found that hitters with high rates of pulled fly balls are more stable performers, and it's likely that teams that believe this will be the ones most hot after Okamoto if indeed he comes over to MLB. 
His swing has a little more movement and noise, but it's similar to Tommy Pham's. His front foot tends to land open, enabling him to pull the baseball in the air a ton. He can cover the heart of the zone from east to west, but he isn't a barrel control savant or anything like that; Okamoto is clearly a power-over-hit guy. His hands are very strong, capable of putting a charge into the ball even when he doesn't square it up. 
But whether Okamoto can actually perform like he has against big league fastballs is up for debate. His spray chart against fastballs has been more balanced to all fields and less pull-heavy. When you limit his opponents' sample to fastballs 94 mph and above (only about 200 pitches across all of 2024; the average NPB fastball was 90-91 mph), his numbers fall off a cliff. As a likely first base-only big league defender (he has seen time at third base and in the outfield each of the last couple years, but has overwhelmingly played first base), Okamoto has very little margin for error on offense. He's a potential option for teams in need of a power bat, but this evaluation is worried enough about his fastball issues to put him comfortably south of the average starting first baseman in MLB.","cMZfx8Rpu1g",
"Tatsuki Mizuno","SS","NPB",2027,"24.5694444","Japan","Hokkaido Fighters",,,"5' 7""","170","L","R","40+","High","Another feather in the cap of Nominative Determinism, Mizuno is a very good defensive shortstop whose arm is a little light by MLB standards. His hands and actions are sensational, and Mizuno's athleticism shines on that side of the ball and also helps him punch above his weight in the batter's box. There are a lot of wee shortstops in NPB, but Mizuno has sneaky pop; he had 25 extra-base hits in 105 games in 2024, including eight triples. He swings really hard for a little guy his size, and his swing has loft that lets him get to power. He's a fun little player with a good utilityman's toolset.","xsByf5gl6z4",
