Name,Pos,Org / Proj Org,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
"Shunpeita Yamashita","SP","Orix Buffaloes","22.6083333",,"Rise/Downh","60 / 60","","55 / 60","","30 / 40",,,"94-97","100","55",
"Munetaka Murakami","3B","Yakult Swallows","25.0638888",,,"","","","","",,,,,"50",
"Liván Moinelo","SP","Fukuoka Hawks","29.2138888",,"Rise","50 / 55","55 / 55","60 / 60","50 / 50","50 / 50",2400,2850,"92-94","96","50",
"Hiroto Takahashi","SP","Chunichi Dragons","22.5444444",,"Downhill","55 / 55","","50 / 55","","40 / 45",,,"93-96","98","50",
"Haruto Inoue","SP","Yomiuri Giants","23.7833333",,"Rise","45 / 50","50 / 55","50 / 50","","50 / 60",,,"88-92","94","50",
"Do Yeong Kim","3B","KIA Tigers","21.3972222",,,"","","","","",,,,,"45+","kr3018059"
"Luis Hernandez","SS",,"17.0888888",,,"","","","","",,,,,"45+",
"Atsuki Taneichi","SP","Chiba Lotte Marines","26.4666666",,"Rise/Run","50 / 50","45 / 50","","","55 / 60",,,"93-95","96","45",
"Shosei Togo","SP","Yomiuri Giants","24.8916666",,"Downhill","30 / 40","","50 / 55","","55 / 60",,,"88-92","94","45",
"Raidel Martinez","SIRP","Nagoya Dragons","28.3722222",,"Downhill","60 / 60","50 / 50","","","55 / 55",,,"94-97","100","45","sa3023350"
"Taisei Ota","SIRP","Yomiuri Giants","25.6555555",,"Rise/Tail","70 / 70","50 / 50","","","30 / 40",,,"94-96","99","45",
"Kazuma Okamoto","1B","Yomiuri Giants","28.6527777",,,"","","","","",,,,,"40+",
"Tatsuki Mizuno","SS","Hokkaido Fighters","24.5694444",,,"","","","","",,,,,"40+",
"Chusei Mannami","RF","Hokkaido Fighters","24.8833333",,,"","","","","",,,,,"40+",
"Shugo Maki","2B","Yokohama BayStars","26.8444444",,,"","","","","",,,,,"40+",
"Jo Hsi Hsu","MIRP","Wei Chuan Dragons","24.3166666",,"Cut/Rise","55 / 60","45 / 55","45 / 45","","40 / 50",,,"93-96","99","40+",
"Angel Nuñez Jr.","CF",,"16.7722222",,,"","","","","",,,,,"40+",
"Francisco Renteria","CF",,"17.0166666",,,"","","","","",,,,,"40+",
"Wandy Asigen","SS",,"16.4",,,"","","","","",,,,,"40+",
"Woo-jin An","SP","Kiwoom Heroes","25.4861111",,"Downhill","50 / 55","50 / 55","50 / 55","30 / 40","45 / 50",,,"93-96","99","40+","kr3012678"
"Rui Muneyama","SS","Rakuten Golden Eagles","21.9944444",,,"","","","","",,,,,"40+",
"Jyun-Yue Tseng","SIRP","Fubon Guardians","23.3",,"Rise","60 / 60","45 / 60","","","30 / 40",,,"92-96","99","40+",
"Kaima Taira","SIRP","Saitama Lions","25.2777777",,"Rise/Run","70 / 70","45 / 45","","","30 / 35",,,"95-97","99","40+",
"Tatsuya Imai","MIRP","Saitama Lions","26.7944444",,"Rise/Tail","55 / 60","55 / 55","","50 / 50","40 / 40",,,"93-96","97","40+",
"Shion Matsuo","C","Yokohama BayStars","20.6361111",,,"","","","","",,,,,"40+",
"Chihiro Sumida","SP","Saitama Lions","25.5138888",,"Cut","30 / 30","40 / 40","40 / 40","60 / 60","55 / 60",,,"89-92","95","40",
"Ju Won Kim","SS","NC Dinos","22.5694444",,,"","","","","",,,,,"40","kr3015141"
"Baek-ho  Kang","1B","KT Wiz","25.5722222",,,"","","","","",,,,,"40","kr3012665"
"Ryosuke Ohtsu","SP","Fukuoka Hawks","26.1166666",,"Rise","30 / 30","50 / 60","45 / 45","50 / 50","60 / 60",,,"88-92","94","40",
"Hiroya Miyagi","SP","Orix Buffaloes","23.5",,"Tail/Uphil","35 / 35","70 / 70","45 / 50","","45 / 50",,,"90-92","96","40",
"Carter Stewart","SP","Fukuoka Hawks","25.3138888",,"Downhill","50 / 50","","60 / 60","","30 / 40",,3000,"93-95","99","40",
"Yukiya Saito","SIRP","Hokkaido Fighters","30.1388888",,"Rise","70 / 70","40 / 50","","","40 / 40",,,"95-97","99","40",
"Dong Ju Moon","SP","Hanwha Eagles","21.1722222",,"Sink","45 / 60","45 / 55","40 / 50","","20 / 45",,,"93-96","98","35+","kr3018231"
"Yuhi Nishidate","SP","Yomiuri Giants","22.9555555",,"Rise/Tail","55 / 55","45 / 50","","","30 / 45",,,"93-95","97","35+",
"Kyle Keller","SIRP","Hanshin Tigers","31.825",,"Rise","55 / 55","","55 / 55","","30 / 30",,,"93-95","98","35+","18890"
"Haruya Tanaka","SP","Chiba Lotte Marines","20.7194444",,"Rise","40 / 50","45 / 55","","","30 / 50",,,"90-93","96","35+",
"Shuto Ogata","SIRP","Fukuoka Hawks","25.7777777",,"Rise","60 / 65","45 / 50","","","30 / 40",,,"93-96","98","35+",
"Ryusei Terachi","C","Chiba Lotte Marines","19.5166666",,,"","","","","",,,,,"35+",
"Seiya Yokoyama","SS","Orix Buffaloes","19.325",,,"","","","","",,,,,"35+",
"Julian Tima","3B","Yomiuri Giants","20.4166666",,,"","","","","",,,,,"35",
