Rank,Name,Pos,Age,Hit,Pitch Sel,Bat Ctrl,Game Pwr,Raw Pwr,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,PlayerId
"1","Jace LaViolette","CF","21.575","30 / 45",60,40,"45 / 70","70 / 80","45 / 45","35 / 55",,,,"55","sa3036058"
"2","Wehiwa Aloy","SS","21.4083333","30 / 45",35,45,"35 / 60","55 / 60","50 / 50","40 / 50",,,,"50","sa3025961"
"3","Jamie Arnold","SP","21.2777777","",,,"","","","",,,,"50","sa3026225"
"4","Tyler Bremner","SP","21.1972222","",,,"","","","",,,,"50","sa3027644"
"5","Kayson Cunningham","2B","19.0166666","25 / 70",50,70,"25 / 45","40 / 45","40 / 40","30 / 40",,,,"50",
"6","Billy Carlson","SS","18.9222222","25 / 50",60,55,"20 / 55","45 / 55","55 / 55","45 / 60",,,,"50",
"7","Dean Curley","SS","21.2111111","30 / 50",50,55,"30 / 55","55 / 60","50 / 50","30 / 40",,,,"45+","sa3029706"
"8","Cam Cannarella","CF","21.8194444","30 / 40",45,40,"35 / 45","45 / 50","60 / 60","45 / 60",,,,"45+","sa3028360"
"9","Ethan Holliday","3B","18.3555555","20 / 40",55,40,"25 / 60","60 / 70","45 / 40","30 / 50",,,,"45+",
"10","Seth Hernandez","SP","19.0083333","",,,"","","","",,,,"45+",
"11","RJ Austin","CF","21.5361111","35 / 55",45,60,"30 / 45","40 / 50","55 / 55","40 / 45",,,,"45+","sa3026315"
"12","Marek Houston","SS","21.2138888","35 / 60",60,60,"30 / 35","40 / 45","55 / 55","45 / 55",,,,"45","sa3034152"
"13","Caden Bodine","C","21.5805555","35 / 60",60,60,"30 / 45","40 / 45","40 / 40","30 / 45",,,,"45","sa3027305"
"14","Ben Jacobs","SP","21.0555555","",,,"","","","",,,,"45","sa3034527"
"15","Xavier Neyens","3B","18.6722222","20 / 40",60,40,"25 / 60","55 / 70","40 / 40","30 / 40",,,,"45",
"16","Ethan Conrad","RF","20.9888888","35 / 50",40,55,"30 / 50","45 / 55","50 / 50","35 / 55",,,,"45","sa3029266"
"17","Luke Stevenson","C","20.9416666","30 / 40",60,40,"35 / 50","55 / 60","30 / 30","45 / 60",,,,"45","sa3043081"
"18","Aiva Arquette","SS","21.7055555","35 / 55",45,55,"35 / 50","55 / 60","50 / 50","40 / 50",,,,"45","sa3026235"
"19","Gustavo Melendez","SS","17.6972222","25 / 55",50,55,"20 / 50","40 / 50","55 / 55","45 / 55",,,,"45",
"20","Kyson Witherspoon","SP","20.8861111","",,,"","","","",,,,"45","sa3045487"
"21","Chase Shores","SP","21.1111111","",,,"","","","",,,,"45","sa3042212"
"22","Liam Doyle","SP","21.0777777","",,,"","","","",,,,"45","sa3030545"
"23","Kruz Schoolcraft","SP","18.2027777","",,,"","","","",,,,"45",
"24","Max Belyeu","RF","21.5444444","30 / 55",45,55,"30 / 50","55 / 60","40 / 40","45 / 55",,,,"45","sa3026937"
"25","Devin Taylor","LF","21.4861111","30 / 45",50,50,"30 / 55","55 / 60","50 / 50","20 / 30",,,,"45","sa3043560"
"26","Henry Ford","RF","20.9277777","30 / 45",40,50,"30 / 60","60 / 70","40 / 40","30 / 50",,,,"45","sa3031540"
"27","Murf Gray","3B","21.5027777","35 / 55",40,55,"30 / 45","45 / 50","40 / 40","35 / 55",,,,"45","sa3032619"
"28","Daniel Dickinson","2B","21.5722222","30 / 50",50,60,"30 / 50","45 / 50","55 / 55","30 / 45",,,,"45","sa3030286"
"29","Tate Southisene","SS","18.7361111","25 / 45",40,50,"20 / 55","45 / 55","60 / 60","40 / 50",,,,"45",
"30","Gavin Kilen","2B","21.2583333","35 / 55",40,60,"30 / 45","40 / 45","55 / 55","40 / 50",,,,"45","sa3035353"
"31","Brady  Ebel","SS","17.9333333","25 / 50",60,55,"20 / 45","40 / 45","50 / 50","40 / 50",,,,"45",
"32","Eli Willits","SS","17.5611111","25 / 55",50,60,"20 / 40","30 / 40","60 / 60","45 / 60",,,,"45",
"33","Henry Godbout ","2B","21.6527777","35 / 60",50,60,"30 / 40","30 / 40","50 / 50","40 / 50",,,,"45","sa3032331"
"34","Ike Irish","C","21.5972222","30 / 45",50,50,"35 / 50","50 / 55","40 / 40","35 / 40",,,,"40+","sa3034445"
"35","Joseph Parker","LF","18.8972222","20 / 45",40,50,"35 / 55","50 / 55","40 / 40","30 / 40",,,,"40+",
"36","Landon Harmon","SP","18.8111111","",,,"","","","",,,,"40+",
"38","Angel Cervantes","SP","17.8611111","",,,"","","","",,,,"40+",
"39","Coy James","SS","18.375","20 / 40",45,40,"25 / 55","45 / 55","55 / 55","45 / 55",,,,"40+",
"40","Gabe Davis","SP","21.6944444","",,,"","","","",,,,"40+",
"41","Cam Appenzeller","SP","18.4527777","",,,"","","","",,,,"40+",
"42","Harrison Didawick","CF","22.0194444","30 / 35",50,30,"35 / 60","60 / 70","55 / 55","30 / 45",,,,"40+","sa3030296"
"43","Nolan Schubart","LF","21.1416666","20 / 30",50,30,"35 / 60","70 / 70","30 / 30","30 / 40",,,,"40+","sa3041794"
"44","Chris Arroyo","RF","20.6222222","30 / 40",40,40,"30 / 60","60 / 70","40 / 40","30 / 50",,,,"40+","sa3026239"
"45","Brendan Summerhill","RF","21.6333333","30 / 45",50,55,"30 / 50","45 / 55","55 / 55","40 / 45",,,,"40+","sa3043325"
"46","Jasen Oliver","2B","21.1027777","35 / 60",55,60,"30 / 35","30 / 40","55 / 55","35 / 50",,,,"40+","sa3039111"
"47","Shai Robinson","SS","21.1361111","30 / 50",40,50,"30 / 50","45 / 55","45 / 45","30 / 45",,,,"40+","sa3040921"
"48","Jaiden LoRe","SS","18.3916666","20 / 50",40,45,"20 / 45","30 / 45","50 / 50","45 / 55",,,,"40+",
"49","Tre Phelps","LF","21.0333333","30 / 40",35,55,"30 / 60","60 / 70","50 / 50","30 / 50",,,,"40+","sa3039858"
"50","Dax Kilby","RF","18.6222222","20 / 45",40,45,"20 / 55","50 / 60","60 / 60","30 / 55",,,,"40+",
"51","Sean Gamble","LF","18.9861111","20 / 40",40,40,"25 / 55","55 / 60","45 / 45","30 / 50",,,,"40+",
"52","Alec Blair","CF","18.6805555","20 / 30",55,40,"25 / 55","45 / 65","50 / 50","30 / 45",,,,"40+",
"53","Dean Moss","RF","19.2055555","20 / 40",55,40,"25 / 55","55 / 60","50 / 50","30 / 55",,,,"40+",
"54","Brett Crossland","SP","18.9666666","",,,"","","","",,,,"40+",
"55","AJ Russell","SP","21.0055555","",,,"","","","",,,,"40+","sa3041324"
"56","Shane Sdao","SP","21.7555555","",,,"","","","",,,,"40+","sa3041884"
"HS-P-1","Jack Lafflam","SP","18.75","",,,"","","","",,,,"40",
"HS-P-2","Ethin Bingaman","MIRP","18.7527777","",,,"","","","",,,,"40",
"HS-P-3","Miguel Sime Jr.","SIRP","18.1472222","",,,"","","","",,,,"40",
"HS-P-4","River Hamilton","SP","18.7416666","",,,"","","","",,,,"40",
"HS-P-5","Joshua Hammond","TWP","18.7777777","",,,"","","",,,,,"40",
"HS-P-6","Justice de Jong","SP","17.9444444","",,,"","","","",,,,"40",
"HS-P-7","Reid Worley","SP","19.0111111","",,,"","","","",,,,"40",
"HS-H-1","Jaden Fauske","C/1B/OF","18.6111111","25 / 55",50,60,"20 / 50","45 / 50","40 / 40","30 / 40",,,,"40",
"HS-H-2","Slater de Brun","CF","18.0638888","25 / 50",70,50,"20 / 40","35 / 40","70 / 70","30 / 45",,,,"40",
"HS-H-3","Brock Sell","OF","18.6777777","25 / 55",40,55,"20 / 40","45 / 55","60 / 60","40 / 50",,,,"40",
"HS-H-4","Dylan Dubovik","RF","18.1361111","20 / 30",40,30,"25 / 60","60 / 70","45 / 45","30 / 50",,,,"40",
"HS-H-5","Quentin Young","3B","18.3305555","20 / 30",50,30,"25 / 50","55 / 70","50 / 40","30 / 50",,,,"40",
"HS-H-6","Omar Serna","C","18.4944444","20 / 30",30,40,"25 / 50","50 / 60","40 / 40","30 / 40",,,,"40",
"HS-H-7","Lucas Franco","3B","18.1861111","20 / 40",40,40,"25 / 50","50 / 60","50 / 50","35 / 55",,,,"40",
"HS-H-8","Ryan Mitchell","2B","18.4444444","20 / 45",50,50,"25 / 55","40 / 55","50 / 50","30 / 40",,,,"40",
"HS-H-9","Brock Silvers","1B/OF","18.0666666","20 / 40",40,40,"20 / 55","45 / 60","55 / 55","30 / 40",,,,"40",
"HS-H-10","Gavin Fien","CF","18.3138888","20 / 40",45,45,"20 / 50","45 / 55","55 / 55","40 / 45",,,,"40",
"HS-H-11","Ty Peeples","RF","18.7055555","20 / 40",50,40,"25 / 55","45 / 60","50 / 50","30 / 50",,,,"40",
"HS-H-12","Taylor Tracey","RF","18.6638888","25 / 45",30,50,"25 / 55","40 / 55","55 / 50","30 / 50",,,,"40",
"HS-H-13","Angel Laya","RF","18.7027777","20 / 50",40,50,"20 / 45","35 / 45","45 / 45","30 / 50",,,,"40",
"HS-H-14","William Patrick","CF","19.0555555","20 / 30",40,30,"25 / 55","60 / 70","60 / 60","30 / 50",,,,"40",
"HS-H-15","Ethan Moore","2B","18.7222222","25 / 50",50,55,"20 / 40","45 / 50","50 / 50","35 / 55",,,,"40",
"COL-P-1","Cam Leiter","SP","21.425","",,,"","","","",,,,"40","sa3036203"
"COL-P-2","Patrick Forbes","SP","20.9722222","",,,"","","","",,,,"40","sa3031537"
"COL-P-3","J.D. Thompson","SP","21.7583333","",,,"","","","",,,,"40","sa3043764"
"COL-P-4","Kade Anderson","SP","20.9861111","",,,"","","","",,,,"40","sa3026056"
"COL-H-1","Anthony Silva","SS","21.9555555","35 / 50",50,55,"30 / 40","40 / 45","55 / 55","40 / 50",,,,"40","sa3042287"
"COL-H-2","Kane Kepley","CF","21.3805555","35 / 60",60,60,"20 / 30","30 / 30","60 / 60","40 / 50",,,,"40","sa3035293"
"COL-H-3","Mason White","SS","21.7777777","30 / 35",40,40,"35 / 50","60 / 65","55 / 55","40 / 50",,,,"40","sa3045125"
"COL-H-4","Jalin Flores","SS","21.9194444","30 / 35",30,40,"30 / 50","45 / 55","55 / 55","45 / 60",,,,"40","sa3031465"
"COL-H-5","Brooks Bryan","C","20.9638888","30 / 35",45,40,"30 / 55","55 / 60","30 / 30","30 / 45",,,,"40","sa3027921"
"COL-H-6","Grant Jay","C","21.7722222","20 / 30",45,30,"30 / 50","60 / 65","30 / 30","40 / 55",,,,"40","sa3034611"
"COL-H-7","Ethan Petry","1B","21.0388888","30 / 35",50,40,"35 / 60","70 / 70","30 / 30","30 / 40",,,,"40","sa3039828"
"COL-H-8","Jared Jones","1B","21.9166666","30 / 30",,40,"35 / 55","60 / 70","30 / 30","30 / 40",,,,"40","sa3034881"
"COL-H-9","Dallas Macias","LF","21.675","35 / 55",45,55,"30 / 40","40 / 45","45 / 45","30 / 50",,,,"40","sa3036796"
"COL-H-10","Brandon Compton","LF","21.6777777","30 / 40",40,40,"30 / 50","50 / 55","50 / 50","30 / 50",,,,"40","sa3029229"
"COL-H-11","Easton Carmichael","C","21.6611111","25 / 45",40,45,"30 / 50","55 / 60","","40 / 50",,,,"40","sa3028459"
"COL-H-12","Karson Bowen","C","21","",,,"","","","",,,,"40","sa3027471"
"COL-H-13","Bryce Molinaro","3B","21.5972222","30 / 35",50,40,"30 / 50","55 / 60","40 / 40","35 / 55",,,,"40","sa3038219"
