Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Con Style,Game Pwr,Raw Pwr,Spd,Fld,Versa,Hard Hit%,FV,PlayerId
Roki Sasaki,SP,LAD,1,0,23.4555555,,,,,,,,,,,65,35323
Roman Anthony,RF,BOS,2,0,20.9277777,40 / 45,55,45,InsideOut,55 / 70,70 / 80,55 / 50,50 / 60,OF,0.53,60,sa3020211
Dylan Crews,CF,WSN,3,0,23.1416666,45 / 50,50,50,InsideOut,50 / 60,60 / 60,70 / 70,40 / 45,OF,0.46,60,33541
Sebastian Walcott,SS,TEX,4,0,19.0916666,30 / 45,50,40,Pull,45 / 70,60 / 80,45 / 45,40 / 50,SS/3B,0.37,60,sa3021069
Samuel Basallo,C,BAL,5,1,20.6777777,30 / 40,30,55,PoleToPole,55 / 70,70 / 80,40 / 40,30 / 45,C/1B,0.49,60,sa3015716
Andrew Painter,SP,PHI,6,1,22.0194444,,,,,,,,,,,60,sa3017880
Kristian Campbell,2B,BOS,7,0,22.8027777,40 / 50,60,50,PoleToPole,45 / 60,55 / 60,60 / 60,30 / 40,2B/SS/CF,0.45,60,33644
Dalton Rushing,C,LAD,8,0,24.1555555,40 / 50,70,50,Pull,50 / 55,55 / 55,45 / 45,40 / 45,C/LF,0.48,60,sa3019892
Jackson Jobe,SP,DET,9,1,22.7138888,,,,,,,,,,,60,30203
Carson Williams,SS,TBR,10,1,21.8111111,30 / 35,40,35,PoleToPole,40 / 55,55 / 60,55 / 55,60 / 70,,0.4,60,sa3017795
Drake Baldwin,C,ATL,11,1,24.0527777,45 / 55,55,55,InsideOut,45 / 55,55 / 55,30 / 30,40 / 45,,0.5,55,31539
Matt Shaw,3B,CHC,12,1,23.4472222,40 / 50,40,55,PoleToPole,45 / 60,60 / 60,60 / 60,45 / 55,2B/3B,0.42,55,33322
Aidan Miller,SS,PHI,13,2,20.8555555,40 / 50,50,50,InsideOut,45 / 60,50 / 60,55 / 55,30 / 40,,0.36,55,sa3022609
Chase Dollander,SP,COL,14,1,23.475,,,,,,,,,,,55,33482
Quinn Mathews,SP,STL,15,0,24.5361111,,,,,,,,,,,55,sa3023407
Walker Jenkins,LF,MIN,16,0,20.1611111,45 / 60,50,60,PoleToPole,40 / 55,45 / 55,45 / 40,30 / 50,,0.36,55,sa3022894
Bubba Chandler,SP,PIT,17,1,22.5916666,,,,,,,,,,,55,sa3017428
Brandon Sproat,SP,NYM,18,0,24.5833333,,,,,,,,,,,55,sa3023499
Jordan Lawlar,SS,ARI,19,1,22.75,35 / 40,60,40,PoleToPole,45 / 55,50 / 60,70 / 70,55 / 60,3B/SS,0.33,55,29976
Emmanuel Rodriguez,CF,MIN,20,0,22.1305555,20 / 30,80,30,GapToGap,50 / 60,70 / 70,50 / 50,60 / 60,OF,0.56,55,sa3014693
Ethan Salas,C,SDP,21,0,18.8777777,25 / 40,40,50,GapToGap,30 / 55,45 / 60,50 / 40,45 / 70,,0.32,55,sa3020881
Jarlin Susana,SP,WSN,22,0,21.0666666,,,,,,,,,,,55,sa3018808
Noah Schultz,SP,CHW,23,1,21.7,,,,,,,,,,,55,sa3020949
Jasson Domínguez,LF,NYY,24,1,22.1944444,40 / 50,50,45,Pull/Oppo,55 / 60,60 / 60,55 / 55,40 / 40,OF,0.42,55,28080
Nick Kurtz,1B,ATH,25,1,22.0972222,35 / 55,60,60,PoleToPole,35 / 60,65 / 65,30 / 30,35 / 55,,0.44,55,sa3025385
Bryce Eldridge,1B,SFG,26,1,20.4916666,30 / 40,45,50,PoleToPole,45 / 70,60 / 80,45 / 30,30 / 40,,0.56,55,sa3022757
Chase Burns,SP,CIN,27,0,22.2805555,,,,,,,,,,,55,sa3028086
Jacob Misiorowski,SP,MIL,28,0,23.0388888,,,,,,,,,,,55,sa3020644
Alfredo Duno,C,CIN,29,0,19.2777777,20 / 40,55,30,PoleToPole,25 / 65,60 / 70,55 / 50,40 / 60,,0.49,55,sa3021066
Marcelo Mayer,SS,BOS,30,0,22.3472222,30 / 40,40,30,PoleToPole,45 / 55,55 / 60,40 / 40,40 / 50,,0.5,50,sa3017114
Colt Emerson,SS,SEA,31,0,19.7416666,30 / 50,60,55,PoleToPole,20 / 50,45 / 50,40 / 40,30 / 45,2B/3B,0.39,50,sa3022923
Angel Genao,SS,CLE,32,0,20.9111111,35 / 55,50,50,GapToGap,30 / 55,45 / 55,50 / 50,40 / 50,,0.4,50,sa3015706
Max Clark,CF,DET,33,2,20.3222222,35 / 60,55,60,SlashAndDash,30 / 45,40 / 45,70 / 70,40 / 50,,0.36,50,sa3022683
Kevin McGonigle,SS,DET,34,3,20.6638888,35 / 60,55,60,GapToGap,30 / 45,40 / 45,55 / 55,40 / 50,2B/SS,0.41,50,sa3022895
Leo De Vries,SS,SDP,35,0,18.5166666,20 / 45,50,40,Pull,25 / 60,45 / 60,40 / 50,35 / 55,,0.36,50,sa3023363
George Lombard Jr.,SS,NYY,36,2,19.875,30 / 40,50,40,GapToGap,20 / 55,50 / 60,55 / 55,40 / 50,SS/3B,0.37,50,sa3023233
