Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,Sits,Tops,FV,PlayerId
"Roki Sasaki","SP","LAD",1,0,"23.4555555",,"Downhill","55 / 70","55 / 60","","","40 / 45","95-98","101","65","35323"
"Roman Anthony","RF","BOS",2,0,"20.9277777",,,"","","","","",,,"60","sa3020211"
"Dylan Crews","CF","WSN",3,0,"23.1416666",,,"","","","","",,,"60","33541"
"Sebastian Walcott","SS","TEX",4,0,"19.0916666",,,"","","","","",,,"60","sa3021069"
"Samuel Basallo","C","BAL",5,1,"20.6777777",,,"","","","","",,,"60","sa3015716"
"Andrew Painter","SP","PHI",6,1,"22.0194444","7/25/23","Rise/Downh","60 / 70","55 / 60","55 / 60","40 / 50","50 / 60","96-98","100","60","sa3017880"
"Kristian Campbell","2B","BOS",7,0,"22.8027777",,,"","","","","",,,"60","33644"
"Dalton Rushing","C","LAD",8,0,"24.1555555",,,"","","","","",,,"60","sa3019892"
"Jackson Jobe","SP","DET",9,1,"22.7138888",,"Rise/Tail","60 / 60","50 / 50","55 / 60","55 / 60","50 / 60","96-99","102","60","30203"
"Carson Williams","SS","TBR",10,1,"21.8111111",,,"","","","","",,,"60","sa3017795"
"Drake Baldwin","C","ATL",11,1,"24.0527777",,,"","","","","",,,"55","31539"
"Matt Shaw","3B","CHC",12,1,"23.4472222",,,"","","","","",,,"55","33322"
"Aidan Miller","SS","PHI",13,2,"20.8555555",,,"","","","","",,,"55","sa3022609"
"Chase Dollander","SP","COL",14,1,"23.475",,"Rise/Tail","60 / 60","50 / 55","50 / 50","45 / 55","45 / 60","94-97","99","55","33482"
"Quinn Mathews","SP","STL",15,0,"24.5361111",,"Rise/Tail","55 / 55","50 / 55","45 / 45","60 / 60","50 / 60","93-96","97","55","sa3023407"
"Walker Jenkins","LF","MIN",16,0,"20.1611111",,,"","","","","",,,"55","sa3022894"
"Bubba Chandler","SP","PIT",17,1,"22.5916666",,"Rise","60 / 60","50 / 55","","55 / 70","40 / 50","95-98","99","55","sa3017428"
"Brandon Sproat","SP","NYM",18,0,"24.5833333",,"Tail","60 / 60","50 / 60","45 / 45","50 / 60","40 / 45","94-98","100","55","sa3023499"
"Jordan Lawlar","SS","ARI",19,1,"22.75",,,"","","","","",,,"55","29976"
"Emmanuel Rodriguez","CF","MIN",20,0,"22.1305555",,,"","","","","",,,"55","sa3014693"
"Ethan Salas","C","SDP",21,0,"18.8777777",,,"","","","","",,,"55","sa3020881"
"Jarlin Susana","SP","WSN",22,0,"21.0666666",,"Tail","60 / 65","70 / 80","","30 / 45","30 / 45","96-99","103","55","sa3018808"
"Noah Schultz","SP","CHW",23,1,"21.7",,"Tail","45 / 50","70 / 80","","30 / 40","45 / 60","94-97","99","55","sa3020949"
"Jasson Domínguez","LF","NYY",24,1,"22.1944444",,,"","","","","",,,"55","28080"
"Nick Kurtz","1B","ATH",25,1,"22.0972222",,,"","","","","",,,"55","sa3025385"
"Bryce Eldridge","1B","SFG",26,1,"20.4916666",,,"","","","","",,,"55","sa3022757"
"Chase Burns","SP","CIN",27,0,"22.2805555",,"Rise/Downh","70 / 70","60 / 70","50 / 55","40 / 45","30 / 45","96-99","101","55","sa3028086"
"Jacob Misiorowski","SP","MIL",28,0,"23.0388888",,"Tail/Rise","70 / 70","","60 / 70","","30 / 40","97-99","102","55","sa3020644"
"Alfredo Duno","C","CIN",29,0,"19.2777777",,,"","","","","",,,"55","sa3021066"
"Marcelo Mayer","SS","BOS",30,0,"22.3472222",,,"","","","","",,,"50","sa3017114"
"Colt Emerson","SS","SEA",31,0,"19.7416666",,,"","","","","",,,"50","sa3022923"
"Angel Genao","SS","CLE",32,0,"20.9111111",,,"","","","","",,,"50","sa3015706"
"Max Clark","CF","DET",33,2,"20.3222222",,,"","","","","",,,"50","sa3022683"
"Kevin McGonigle","SS","DET",34,3,"20.6638888",,,"","","","","",,,"50","sa3022895"
"Leo De Vries","SS","SDP",35,0,"18.5166666",,,"","","","","",,,"50","sa3023363"
"George Lombard Jr.","SS","NYY",36,2,"19.875",,,"","","","","",,,"50","sa3023233"
"Jesús Made","2B","MIL",37,0,"17.9416666",,,"","","","","",,,"50","sa3024108"
"Travis Bazzana","2B","CLE",38,0,"22.6361111",,,"","","","","",,,"50","sa3025129"
"Adrian Del Castillo","C","ARI",39,2,"25.5555555",,,"","","","","",,,"50","29554"
"Agustin Ramírez","C","MIA",40,0,"23.6027777",,,"","","","","",,,"50","sa3009276"
"Thayron Liranzo","C","DET",41,4,"21.7833333",,,"","","","","",,,"50","sa3015790"
"Kevin Alcántara","CF","CHC",42,2,"22.7638888",,,"","","","","",,,"50","25971"
"Jac Caglianone","RF","KCR",43,0,"22.1888888",,,"","","","","",,,"50","sa3025245"
"Cam Smith","3B","HOU",44,0,"22.1527777",,,"","","","","",,,"50","35108"
"AJ Smith-Shawver","SP","ATL",45,2,"22.4083333",,"Rise","60 / 60","40 / 45","50 / 50","55 / 60","40 / 50","93-98","100","50","29960"
"Chase Petty","SP","CIN",46,0,"22.0361111",,"Sink","60 / 60","60 / 60","","40 / 45","40 / 45","94-97","99","50","sa3017963"
"Chase DeLauter","RF","CLE",47,0,"23.525",,,"","","","","",,,"50","sa3021053"
"Coby Mayo","1B","BAL",48,2,"23.3527777",,,"","","","","",,,"50","28312"
"Zyhir Hope","RF","LAD",49,0,"20.2444444",,,"","","","","",,,"50","sa3022703"
"Kyle Teel","C","CHW",50,2,"23.1722222",,,"","","","","",,,"50","sa3022886"
"Luke Keaschall","CF","MIN",51,0,"22.6722222",,,"","","","","",,,"50","sa3022614"
"Josue Briceño","C","DET",52,5,"20.5666666",,,"","","","","",,,"50","sa3018584"
"Jackson Ferris","SP","LAD",53,0,"21.2555555",,"Rise/Tail","45 / 50","50 / 55","45 / 45","40 / 50","40 / 50","92-94","96","50","sa3020891"
"Hagen Smith","SP","CHW",54,3,"21.6611111","9/1/19","Rise/Tail","60 / 60","70 / 70","","40 / 45","20 / 45","93-97","100","50","sa3025544"
"Thomas White","SP","MIA",55,0,"20.55",,"Rise","55 / 60","55 / 60","","40 / 50","30 / 50","94-96","97","50","sa3023268"
"Jacob Wilson","SS","ATH",56,2,"23.0472222",,,"","","","","",,,"50","33266"
"Cooper Ingle","C","CLE",57,0,"23.15",,,"","","","","",,,"50","sa3023069"
"JJ Wetherholt","SS","STL",58,0,"22.6027777",,,"","","","","",,,"50","sa3025154"
"Edgar Quero","C","CHW",59,4,"22.0305555",,,"","","","","",,,"50","28022"
"Jake Bloss","SP","TOR",60,1,"23.8166666",,"Rise","60 / 60","60 / 60","55 / 55","40 / 50","40 / 50","92-95","98","50","33168"
"Parker Messick","SP","CLE",61,0,"24.475",,"Rise","45 / 45","50 / 55","","60 / 60","50 / 60","91-94","95","50","sa3020748"
"Rhett Lowder","SP","CIN",62,0,"23.1083333",,"Sink/Tail","55 / 55","55 / 60","","50 / 50","45 / 50","92-96","97","50","33876"
"Will Warren","SP","NYY",63,3,"25.8361111",,"Sink/Tail","50 / 50","60 / 60","","55 / 60","40 / 45","92-95","97","50","30182"
"Richard Fitts","SP","BOS",64,0,"25.3333333",,"Rise/Downh","60 / 60","55 / 55","50 / 50","40 / 45","60 / 60","93-97","99","50","30160"
"Cade Horton","SP","CHC",65,4,"23.6583333","2/15/21","Rise/Downh","45 / 45","60 / 60","50 / 50","50 / 60","40 / 50","92-95","97","50","sa3020860"
"Joe Mack","C","MIA",66,0,"22.3055555",,,"","","","","",,,"50","sa3017374"
"Alex Freeland","SS","LAD",67,0,"23.6472222",,,"","","","","",,,"50","sa3020653"
"Carter Jensen","C","KCR",68,0,"21.7888888",,,"","","","","",,,"50","sa3017339"
"Jefferson Rojas","SS","CHC",69,3,"19.9777777",,,"","","","","",,,"50","sa3018571"
"Arjun Nimmala","SS","TOR",70,2,"19.5027777",,,"","","","","",,,"50","sa3022892"
"Konnor Griffin","CF","PIT",71,2,"18.9805555",,,"","","","","",,,"50","sa3065496"
"Josue De Paula","LF","LAD",72,0,"19.8972222",,,"","","","","",,,"50","sa3018591"
"Felnin Celesten","2B","SEA",73,0,"19.5888888",,,"","","","","",,,"50","sa3023381"
"Braden Montgomery","RF","CHW",74,5,"22.0027777",,,"","","","","",,,"50","sa3038253"
"Kumar Rocker","SP","TEX",75,0,"25.4027777","5/22/23","Tail","55 / 55","80 / 80","40 / 40","40 / 45","40 / 50","96-98","100","50","31843"
"Yoniel Curet","SP","TBR",76,2,"22.4555555",,"Rise/Tail","60 / 60","50 / 55","","45 / 60","30 / 45","95-98","99","50","sa3015446"
"Caden Dana","SP","LAA",77,1,"21.3333333",,"Rise/Downh","50 / 55","60 / 60","45 / 50","45 / 55","40 / 45","92-95","97","50","31508"
"Chandler Simpson","CF","TBR",78,3,"24.4138888",,,"","","","","",,,"50","sa3020219"
"Jurrangelo Cijntje","SP","SEA",79,0,"21.8805555",,"Rise/Tail","55 / 55","50 / 55","","45 / 55","30 / 50","93-96","99","50","sa3028930"
"Welbyn Francisca","SS","CLE",80,0,"18.9166666",,,"","","","","",,,"50","sa3021087"
"Grant Taylor","SP","CHW",81,6,"22.9083333","2/15/23","Rise","60 / 60","50 / 60","50 / 55","45 / 60","30 / 45","96-98","101","50","sa3023634"
"Brody Hopkins","SP","TBR",82,4,"23.2472222",,"Rise/Tail","60 / 60","55 / 60","","40 / 50","30 / 45","93-97","99","50","sa3023515"
"Alan Roden","LF","TOR",83,3,"25.3194444",,,"","","","","",,,"50","31564"
"Juan Brito","2B","CLE",84,0,"23.5638888",,,"","","","","",,,"50","sa3009808"
"Cole Young","SS","SEA",85,0,"21.7333333",,,"","","","","",,,"50","sa3020459"
"Braxton Ashcraft","SP","PIT",86,3,"25.5333333","8/2/21","Downhill","50 / 50","70 / 70","55 / 55","40 / 45","50 / 55","93-97","98","50","sa3008470"
"Gunnar Hoglund","SP","ATH",87,3,"25.3333333","5/18/21","Rise","55 / 55","55 / 55","","45 / 50","55 / 60","90-93","94","50","sa3019785"
"Logan Henderson","SP","MIL",88,0,"23.125",,"Uphill/Tai","55 / 55","","45 / 50","70 / 70","50 / 50","91-96","97","50","sa3020080"
"Troy Melton","SP","DET",89,6,"24.3722222",,"Rise","60 / 60","50 / 50","","55 / 60","45 / 50","94-97","99","50","sa3020652"
"Jonah Tong","SP","NYM",90,0,"21.8555555",,"Rise","55 / 55","40 / 45","55 / 55","40 / 50","30 / 45","91-95","97","50","sa3022324"
"Jedixson Paez","SP","BOS",91,0,"21.25",,"Sink/Tail","35 / 40","55 / 60","","55 / 60","45 / 80","90-92","93","50","sa3016264"
"Jimmy  Crooks","C","STL",92,0,"23.7444444",,,"","","","","",,,"50","sa3019841"
"Tre' Morgan","1B","TBR",93,5,"22.7527777",,,"","","","","",,,"50","sa3022919"
"Starlyn Caba","SS","MIA",94,0,"19.3638888",,,"","","","","",,,"50","sa3021070"
"George Klassen","SP","LAA",95,2,"23.225",,"Rise","60 / 70","","60 / 60","","30 / 40","96-98","101","50","sa3023440"
"Yilber Díaz","SP","ARI",96,3,"24.6611111",,"Rise","60 / 65","55 / 60","55 / 60","","30 / 40","95-96","97","50","29271"
"Moisés Chace","SP","PHI",97,3,"21.8555555",,"Rise","70 / 80","45 / 55","","30 / 45","30 / 45","93-96","97","50","sa3015346"
"Carson Whisenhunt","SP","SFG",98,2,"24.4916666",,"Downhill","45 / 45","50 / 50","","80 / 80","40 / 45","92-94","96","50","sa3020529"
"Luis Morales","SP","ATH",99,4,"22.5638888",,"Rise","60 / 70","","55 / 60","35 / 55","30 / 45","96-98","100","50","sa3021487"
"Tai Peete","CF","SEA",100,0,"19.6833333",,,"","","","","",,,"50","sa3022966"
"Jett Williams","CF","NYM",101,0,"21.4555555",,,"","","","","",,,"50","sa3020134"
"Jaison Chourio","CF","CLE",102,0,"19.9111111",,,"","","","","",,,"50","sa3018399"
"Luis Mey","SIRP","CIN",103,0,"23.8138888",,"Tail","60 / 70","45 / 55","","35 / 45","20 / 30","97-99","102","50","sa3010130"
"Xavier Isaac","1B","TBR",104,6,"21.3333333",,,"","","","","",,,"50","sa3020498"
"Noble Meyer","SP","MIA",105,0,"20.2694444",,"Tail/Uphil","45 / 60","50 / 60","","50 / 60","20 / 50","92-95","97","50","sa3022945"
"Jeferson Quero","C","MIL",106,0,"22.525",,,"","","","","",,,"50","sa3015407"
"Jonny Farmelo","CF","SEA",107,0,"20.6055555",,,"","","","","",,,"50","sa3023362"
"Travis Sykora","SP","WSN",108,0,"20.9694444",,"Rise/Tail","55 / 55","55 / 60","","","30 / 50","93-97","98","50","sa3023557"
"Chayce McDermott","SP","BAL",109,3,"26.6527777",,"Rise","55 / 60","50 / 55","55 / 55","50 / 60","30 / 40","93-95","97","50","29866"
"Tink Hence","SP","STL",110,0,"22.6972222",,"Uphill","45 / 45","50 / 55","","60 / 70","45 / 55","91-97","98","50","sa3014709"
