Name,Team,Season,Age,OPS,HR,R,RBI,SB,CS,PA,AB,AVG,BABIP,BB,H,1B,2B,3B,GDP,HBP,ISO,SO,OBP,SLG,SF,WAR,wOBA,wRAA,wRC,wRC+,wSB,K%,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Brian Anderson","ATL",2024,31,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-0.10754443254782393,0,-1.2482542472308302,-0.6633638890808249,-100,0,0.4,0.33333333,1,"Brian Anderson",18289,605119
"Daniel Johnson","BAL",2024,28,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03857366755748727,0,-0.24965084944616606,-0.132672777816165,-100,0,0,0,1,"Daniel Johnson",19643,669288
"Greg Jones","COL",2024,26,1.133333333,1,1,1,0,0,6,5,0.2,0,1,1,0,0,0,0,0,0.6,4,0.333333333,0.8,0,0.08546852743263852,0.4564569691816966,0.7063998365833408,1.4082682663633472,183.7883468637626,-0.007892422378063202,0.666666666,1,1,"Greg Jones",25448,675659
"Carlos Narvaez","NYY",2024,25,0.564102563,0,0,0,0,0,15,13,0.23076923,0.428571428,2,3,3,0,0,0,0,0,6,0.333333333,0.23076923,0,-0.004246581048158858,0.2682262380917867,-0.50649243487944,1.248178639570576,72.46018159559053,-0.03946211189031601,0.4,0,0.85714286,"Carlos Narvaez",19722,665966
"Stone Garrett","WSN",2024,28,2.066666666,1,2,3,0,0,6,5,0.6,0.5,1,3,1,1,0,0,0,0.8,0,0.666666666,1.4,0,0.26739041020987436,0.8124831120173136,2.425707977346567,3.1275764071265737,436.88716303508886,-0.015784844756126404,0,0.4,0.8,"Stone Garrett",19273,656448
"Dustin Harris","TEX",2024,24,1.428571428,1,1,3,0,0,7,6,0.333333333,0.333333333,1,2,0,1,0,0,0,0.666666667,2,0.428571428,1,0,0.15410980799225732,0.5704554234232221,1.4664030623161297,2.285249563726137,285.07806463012366,-0.007892422378063202,0.285714285,0.25,0.75,"Dustin Harris",25705,687957
"Matt Duffy","TEX",2024,33,0.785714285,0,2,0,0,0,10,7,0.285714285,0.333333333,2,2,2,0,0,0,1,0,1,0.5,0.285714285,0,0.14538653116239633,0.3861874878406525,0.61176180659458,1.7815425228945907,155.4602356832135,-0.03946211189031601,0.1,0,0.66666667,"Matt Duffy",13836,622110
"José Devers","MIA",2024,24,0.5,0,1,0,0,0,4,4,0.25,0.333333333,0,1,1,0,0,0,0,0,1,0.25,0.25,0,-0.012406820377155474,0.22042767703533173,-0.28894933220039304,0.17896295431961123,35.407482329820766,-0.007892422378063202,0.25,0,0.66666667,"Jose Devers",20540,672701
"Aaron Judge","NYY",2024,32,1.15928922,58,122,144,10,0,704,559,0.322003577,0.367469879,133,180,85,36,1,22,9,0.379248659,171,0.458036984,0.701252236,2,11.182898598300543,0.4757340011100992,93.8070330089052,176.15959543642595,218.42537975678286,0.3662685975432396,0.242897727,0.2685422,0.60869565,"Aaron Judge",15640,592450
"Shohei Ohtani","LAD",2024,29,1.036336305,54,134,130,59,4,731,636,0.309748427,0.336470588,81,197,98,38,7,7,6,0.336477988,162,0.39010989,0.646226415,5,9.068123196279938,0.43054929176412915,70.82018756386266,156.33115792539346,181.15414439501438,8.798800624907017,0.221614227,0.21369295,0.59543568,"Shohei Ohtani",19755,660271
"Jerar Encarnacion","SFG",2024,26,0.702089685,5,13,19,1,0,119,113,0.24778761,0.306666666,5,28,18,5,0,0,0,0.176991151,34,0.277310924,0.424778761,1,-0.10052353785901127,0.301149013162661,-0.8648828613804163,13.055507662589712,94.32750622116366,0.018474288284778595,0.285714285,0.15,0.5875,"Jerar Encarnacion",21871,666464
