Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,PlayerId
"Christian Bethancourt","TOR","AAA",33,6,17,18,2,1,0,0,1,1,2,0,0,3,0,1,0,1,0,0,0.117647058,0,0.166666666,0,0.117647058,0.111111111,0.294117647,0.405228758,0.176470589,0.14285714,0.071428571,-0.009817331098020077,-0.17183784752959624,-2.4448225012409153,0.1674194269710117,-7.5600091381620285,,0.071428571,0.625,0.133333333,0.333333333,0.533333333,0.125,0.125,0.46666667,0.13333333,0.4,0.19444444,26,46,"10028"
"Max Stassi","SFG","AAA",34,10,35,43,8,6,2,0,0,3,8,6,0,9,2,0,0,2,1,0,0.228571428,0.139534883,0.209302325,0.666666666,0.228571428,0.372093023,0.285714285,0.657807308,0.057142857,3.790773334354327,0.307692307,0.12862110324203968,5.050553466366343,-0.8981644109024487,0.3291748179945835,84.90154635951875,,0.307692307,1.5,0.23076923,0.461538461,0.307692307,0.125,0,0.34615385,0.23076923,0.42307692,0.1183432,68,101,"10059"
"Tucker Barnhart","TEX","AAA",34,12,43,52,10,8,1,0,1,4,8,6,0,10,1,1,1,0,0,0,0.232558139,0.115384615,0.192307692,0.6,0.232558139,0.333333333,0.325581395,0.658914728,0.093023256,0.76785714,0.272727272,-0.07647739257663488,5.3281426439362525,-1.8656557192725183,0.31203611574920953,74.06577686672401,,0.272727272,0.928571428,0.205882352,0.382352941,0.411764705,0.285714285,0.071428571,0.37142857,0.42857143,0.2,0.1122449,83,113,"10200"
"Rafael Ortega","NYM","A+",34,3,12,12,1,1,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0.083333333,0,0.166666666,0,0.083333333,0.083333333,0.083333333,0.166666666,0,2.9766355140186915,0.1,-0.26821090187877417,-0.8498325734082507,-2.405708351606493,0.07957881689071655,-54.620849897951764,,0.1,0.8,0.1,0.4,0.5,0.6,0,0.4,0,0.6,0.04651163,11,32,"10323"
"Jon Singleton","NYM","AAA",33,10,32,41,7,4,1,0,2,7,5,9,0,10,0,0,0,0,0,0,0.21875,0.219512195,0.243902439,0.9,0.21875,0.390243902,0.4375,0.827743902,0.21875,1.7499999962500001,0.25,-0.127625304274261,6.843698841449651,1.6663449079960913,0.3871214666017672,132.18526161074243,,0.25,0.583333333,0.136363636,0.318181818,0.545454545,0.416666666,0.166666666,0.68181818,0.22727273,0.09090909,0.09756098,74,90,"10441"
"Carlos Perez","CHC","AAA",34,8,26,32,8,4,2,0,2,6,9,4,0,3,1,1,0,0,0,0,0.307692307,0.125,0.09375,1.333333333,0.307692307,0.40625,0.615384615,1.021634615,0.307692308,2.01785714,0.272727272,-0.08835597988218069,6.834251415619508,2.7933898090216074,0.44520228728652,169.1285691264599,,0.272727272,0.888888888,0.291666666,0.333333333,0.375,0.333333333,0.222222222,0.5,0.25,0.25,0.06363636,48,62,"10642"
"Jake Marisnick","ATL","AAA",34,9,31,35,4,2,1,0,1,5,1,3,0,9,1,0,0,2,1,0,0.129032258,0.085714285,0.257142857,0.333333333,0.129032258,0.228571428,0.258064516,0.486635944,0.129032258,6.268789048997172,0.142857142,0.14109601639211178,1.586075925190422,-2.833616457026032,0.23572443383080618,35.88656829539374,,0.142857142,3.25,0.19047619,0.619047619,0.19047619,0,0.25,0.47826087,0.30434783,0.2173913,0.16666667,49,77,"11339"
"Yasmani Grandal","BOS","AAA",36,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0,0.14285714,0,0,-0.7200943084747955,-1.3514789345057174,0,-100,,0,2,0,0.666666666,0.333333333,1,0,0.5,0.5,0,0.05555556,6,12,"11368"
"Mark Canha","KCR","AAA",36,2,6,9,2,2,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0.333333333,0.333333333,0.222222222,1.5,0.333333333,0.555555555,0.333333333,0.888888888,0,2.64285714,0.5,-0.049086655490100384,1.9898589654229997,0.8533666385673401,0.45457109477784896,175.08776068276282,,0.5,0.5,0.25,0.25,0.5,0,0,0.5,0.25,0.25,0.075,18,22,"11445"
"Dixon Machado","CHC","AAA",33,10,32,37,9,6,3,0,0,3,5,4,0,7,0,1,0,0,1,2,0.28125,0.108108108,0.189189189,0.571428571,0.28125,0.351351351,0.375,0.726351351,0.09375,2.7734596785898784,0.346153846,-0.7878130432218313,4.703976871861047,0.031730639232225404,0.3375887613038759,100.679130286641,,0.346153846,3.666666666,0.363636363,0.5,0.136363636,0,0,0.63636364,0.22727273,0.13636364,0.06521739,54,84,"11472"
