Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2025,"Tyler Matzek","NYY","A,AAA",34,0,0,1.928570016307308,4,0,0,0,0,0,,4.2,20,5,1,1,0,1,0,1,0,0,6,11.571420097843848,1.928570016307308,6,0,0.3,0.05,0.25,0.27777778,1.285713344204872,0.41666667,0.85714286,1.928570016307308,2.3646317008861852,-0.4360616845788772,3.298969987059592,0.41666667,1.666666666,0.333333333,0.416666666,0.25,0,0,0.16666667,0.08333333,0.75,0.14666667,24,51,75,"10058"
2025,"Kyle Gibson","BAL","AAA",37,0,1,5.142857142857143,2,2,0,0,0,0,,7,32,9,4,4,0,0,0,2,0,0,8,10.285714285714286,0,8,0,0.25,0,0.25,0.3,1.2857142857142858,0.40909091,0.63636364,5.142857142857143,2.1133103234427315,3.0295468194144117,3.5667264995830403,0.40909091,1.428571428,0.227272727,0.454545454,0.318181818,0,0,0.31818182,0.36363636,0.31818182,0.13636364,32,78,110,"10123"
2025,"Michael Mariot","SEA","AAA",36,0,0,4.5,1,0,0,0,0,0,,2,11,3,1,1,0,2,0,0,0,0,1,4.5,9,0.5,0,0.09090909,0.18181818,-0.09090909,0.33333333,2.5,0.375,0.8,4.5,5.712507915496826,-1.2125079154968263,9.609463256597518,0.375,0.25,0.375,0.125,0.5,0.25,0,0.25,0.375,0.375,0.03703704,23,31,54,"10835"
2025,"Chasen Shreve","ATL","AAA",34,1,1,5.268291457503841,4,3,0,0,0,0,,13.2,58,14,10,8,3,3,0,1,0,0,9,5.92682788969182,1.9756092965639402,3,1.9756092965639402,0.15517241,0.05172414,0.10344828,0.25925926,1.2439021496884068,0.26190476,0.57971014,5.268291457503841,5.956515336703421,-0.6882238791995805,4.6980699690884,0.26190476,1.2,0.25,0.409090909,0.34090909,0.266666666,0.2,0.48888889,0.31111111,0.2,0.10775862,88,144,232,"10855"
2025,"Noah Dean","BOS","A+",24,0,0,0,1,1,0,0,0,0,,3,13,0,0,0,0,4,0,0,1,0,5,15,12,1.25,0,0.38461538,0.30769231,0.07692308,0,1.3333333333333333,0,1,0,4.758969179789226,-4.758969179789226,,0,,,,,,,,,,,,,,"sa3020740"
2025,"Casey Lawrence","SEA","AAA",37,0,0,4.354840049386809,2,2,0,0,0,0,,10.1,44,13,5,5,1,3,0,0,0,0,8,6.967744079018894,2.612904029632085,2.66666667,0.8709680098773618,0.18181818,0.06818182,0.11363636,0.31707317,1.5483875731153098,0.375,0.75342466,4.354840049386809,4.293153255415067,0.061686793971741594,4.543587658045289,0.375,2.25,0.212121212,0.545454545,0.242424242,0,0.125,0.6969697,0.18181818,0.12121212,0.08484848,52,113,165,"11121"
2025,"David Buchanan","TEX","AAA",36,0,0,2.4923073266385405,4,4,0,0,0,0,,21.2,90,19,8,6,4,9,0,1,0,0,13,5.399999207716838,3.7384609899578107,1.44444444,1.661538217759027,0.14444444,0.1,0.04444444,0.2375,1.2923075027014654,0.23809524,0.8974359,2.4923073266385405,6.297122920899757,-3.8048155942612167,5.066209703828476,0.23809524,3.307692307,0.138461538,0.661538461,0.2,0.23076923,0.307692307,0.60606061,0.21212121,0.18181818,0.08722741,124,197,321,"11176"
2025,"Vince Velasquez","CLE","AAA",33,0,0,6.749996781350717,2,2,0,0,0,0,,6.2,32,5,5,5,0,9,0,1,0,0,4,5.399997425080573,12.149994206431291,0.44444444,0,0.125,0.28125,-0.15625,0.22727273,2.0999989986424454,0.27777778,0.66666667,6.749996781350717,6.841880178452289,-0.09188339710157223,8.585978758169649,0.27777778,0.75,0.222222222,0.333333333,0.444444444,0.5,0,0.44444444,0.22222222,0.33333333,0.08270677,69,64,133,"11189"
2025,"Drew Pomeranz","SEA","AAA",36,0,0,5.400002059937309,7,0,0,0,1,0,,8.1,37,5,5,5,0,5,0,2,1,0,12,12.960004943849542,5.400002059937309,2.4,0,0.32432432,0.13513514,0.18918919,0.16666667,1.2000004577638466,0.27777778,0.58333333,5.400002059937309,3.3525077781676726,2.0474942817696364,4.7554122361295015,0.27777778,1.166666666,0.235294117,0.411764705,0.352941176,0.333333333,0,0.27777778,0.38888889,0.33333333,0.10967742,60,95,155,"11426"
2025,"Jose Urena","NYM","AAA",33,0,1,2.700002768042541,1,1,0,0,0,0,,3.1,16,3,1,1,0,2,0,1,0,0,2,5.400005536085082,5.400005536085082,1,0,0.125,0.125,0,0.23076923,1.5000015378014118,0.27272727,0.83333333,2.700002768042541,5.041883289815572,-2.3418805217730307,7.658035088946664,0.27272727,0.166666666,0.363636363,0.09090909,0.545454545,0.5,0,0.54545455,0.45454545,0,0.12307692,27,38,65,"11589"
2025,"Scott McGough","ARI","AAA",35,0,0,9,6,0,0,0,0,0,,6,28,9,6,6,0,1,0,0,2,0,10,15,1.5,10,0,0.35714286,0.03571429,0.32142857,0.33333333,1.6666666666666667,0.52941176,0.4,9,0.8791745821634933,8.120825417836507,1.8534134174386667,0.52941176,2,0.470588235,0.352941176,0.176470588,1,0,0.35294118,0.05882353,0.58823529,0.17,31,69,100,"12056"
2025,"Adrian Houser","TEX","AAA",32,1,0,3.857142857142857,4,4,0,0,0,0,,21,82,14,9,9,4,5,0,2,0,0,23,9.857142857142858,2.142857142857143,4.6,1.7142857142857142,0.2804878,0.06097561,0.2195122,0.18666667,0.9047619047619048,0.20833333,0.77922078,3.857142857142857,4.998222201211112,-1.1410793440682547,3.9138014896994546,0.20833333,1.933333333,0.137254901,0.56862745,0.294117647,0,0.266666666,0.38461538,0.23076923,0.38461538,0.09459459,100,196,296,"12718"
2025,"Chris Devenski","NYM","AAA",34,0,0,2.0769246005458837,4,0,0,0,1,0,,4.1,15,3,1,1,1,0,0,0,0,0,4,8.307698402183535,0,4,2.0769246005458837,0.26666667,0,0.26666667,0.2,0.6923082001819612,0.2,1,2.0769246005458837,4.695728752317429,-2.618804151771545,2.7019384885479756,0.2,2,0.181818181,0.545454545,0.272727272,0,0.333333333,0.36363636,0.54545455,0.09090909,0.18518519,20,34,54,"12763"
2025,"Andrew Chafin","DET","AAA",35,2,0,4.04999806881043,7,0,0,0,0,2,,6.2,30,8,4,3,0,2,0,0,2,0,9,12.149994206431291,2.6999987125402867,4.5,0,0.3,0.06666667,0.23333333,0.28571429,1.4999992847446038,0.42105263,0.6,4.04999806881043,1.7418826103206357,2.308115458489794,3.0499565451086554,0.42105263,1.666666666,0.111111111,0.555555555,0.333333333,0.333333333,0,0.36842105,0.21052632,0.42105263,0.15079365,47,79,126,"12988"
2025,"Colten Brewer","NYY","AAA",32,0,0,1.5,5,0,0,0,1,0,,6,22,3,1,1,0,2,0,0,0,0,6,9,3,3,0,0.27272727,0.09090909,0.18181818,0.15,0.8333333333333334,0.21428571,0.8,1.5,2.5418817520141612,-1.0418817520141608,3.268589840084315,0.21428571,2.333333333,0.285714285,0.5,0.214285714,0.333333333,0,0.35714286,0.21428571,0.42857143,0.13414634,32,50,82,"12997"
