Name,Team,Season,Age,QS,K/9,ERA,WHIP,SV,HLD,BS,WAR,G,IP,GS,CG,TBF,W,L,H,R,ER,xERA,AVG,BABIP,SO,K%,K/BB,K-BB%,BB,IBB,HBP,BB/9,BB%,FIP,xFIP,GB%,HR,HR/9,LOB%,BK,WP,ShO,Pitches,Balls,Strikes,NameASCII,PlayerId,MLBAMID
"Gerrit Cole","NYY",2023,32,24,9.559808612440191,2.626794258373206,0.9808612440191388,0,0,0,5.388150691986084,33,209,33,2,821,15,4,157,64,61,3.48,0.20496083550913838,0.26145038167938933,222,0.27040195,4.625,0.21193666,48,0,7,2.0669856459330145,0.05846529,3.1641312685879797,3.597196205609153,0.396296296,20,0.861244019138756,0.80434783,1,4,2,3286,1117,2169,"Gerrit Cole",13125,543037
"Logan Webb","SFG",2023,26,24,8.083333333333334,3.25,1.0740740740740742,0,0,0,4.9122819900512695,33,216,33,2,850,11,13,201,83,78,3.63,0.24692874692874692,0.3016666666666667,194,0.22823529,6.25806452,0.19176471,31,0,5,1.2916666666666667,0.03647059,3.162447766904478,2.9538168780781606,0.621138211,20,0.8333333333333334,0.73684211,0,1,1,3184,1025,2159,"Logan Webb",17995,657277
"Miles Mikolas","STL",2023,34,14,6.124172340144791,4.783112703616735,1.316225198814574,0,0,0,3.057236909866333,35,201.1,35,0,860,9,13,226,110,107,5.44,0.2779827798277983,0.3076923076923077,137,0.15930233,3.51282051,0.11395349,39,0,8,1.7433775274864733,0.04534884,4.273252305749854,4.762415545141465,0.388392857,26,1.1622516849909823,0.68892646,0,4,0,3198,1042,2156,"Miles Mikolas",9803,571945
"Luis Castillo","SEA",2023,30,18,10.00507614213198,3.33502538071066,1.0964467005076142,0,0,0,3.3318209648132324,33,197,33,0,802,14,9,160,81,73,3.82,0.21592442645074225,0.26720647773279355,219,0.27306733,3.91071429,0.2032419,56,0,5,2.5583756345177666,0.06982544,3.8083398518828577,3.807006785228168,0.389210019,28,1.2791878172588833,0.77007701,0,3,0,3209,1075,2134,"Luis Castillo",15689,622491
"Spencer Strider","ATL",2023,24,18,13.54821502403341,3.857143067340473,1.092857202413134,0,0,0,5.465874195098877,32,186.2,32,0,763,20,5,146,85,80,3.09,0.20977011494252873,0.3155216284987277,281,0.36828309,4.84482759,0.29226737,58,1,9,2.796428723821843,0.07601573,2.853254623315771,2.9242724886054283,0.34057971,22,1.0607143435186301,0.7025247,2,6,0,3100,995,2105,"Spencer Strider",27498,675911
"Zac Gallen","ARI",2023,27,20,9.428571428571429,3.4714285714285715,1.119047619047619,0,0,0,5.169271469116211,34,210,34,1,846,17,9,188,87,81,4.16,0.2367758186397985,0.3007246376811594,220,0.26004728,4.68085106,0.20449173,47,0,5,2.0142857142857142,0.05555556,3.26456416902088,3.485153228754089,0.417832167,22,0.9428571428571428,0.73135755,1,8,1,3252,1153,2099,"Zac Gallen",19291,668678
"Aaron Nola","PHI",2023,30,15,9.387263832145537,4.461273900425602,1.151463055318182,0,0,0,3.86611270904541,32,193.2,32,0,793,12,9,178,105,96,3.71,0.23828647925033467,0.28460038986354774,202,0.25472888,4.48888889,0.19798235,45,0,1,2.091222140824501,0.05674653,4.02956707832096,3.631651960482608,0.426199261,32,1.4870913001418673,0.6640625,0,2,0,3094,1013,2081,"Aaron Nola",16149,605400
"Mitch Keller","PIT",2023,27,18,9.725557715952373,4.214408343579362,1.2452830514605684,0,0,0,3.2699105739593506,32,194.1,32,1,825,13,9,187,97,91,4.18,0.24670184696569922,0.30975143403441685,210,0.25454545,3.81818182,0.18787879,55,0,12,2.5471698779875265,0.06666667,3.8004949192277326,3.702056191852536,0.436697247,25,1.1578044899943303,0.71689498,1,5,1,3122,1049,2073,"Mitch Keller",17594,656605
"Chris Bassitt","TOR",2023,34,21,8.37,3.6,1.175,0,0,0,2.451029062271118,33,200,33,1,826,16,8,176,88,80,4.04,0.23311258278145697,0.2735674676524954,186,0.2251816,3.15254237,0.15375303,59,2,12,2.655,0.07142857,4.28004035949707,4.212593218684197,0.422735346,28,1.26,0.76515881,3,4,1,3152,1080,2072,"Chris Bassitt",12304,605135
"Zack Wheeler","PHI",2023,33,21,9.9375,3.609375,1.078125,0,0,0,5.931493282318115,32,192,32,0,787,13,6,168,82,77,3.18,0.2273342354533153,0.29191321499013806,212,0.26937738,5.43589744,0.21982211,39,0,9,1.828125,0.04955527,3.1508736928304044,3.536170850632092,0.41221374,20,0.9375,0.71276596,0,1,0,3158,1089,2069,"Zack Wheeler",10310,554430
